,timepoints
3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq
3hrs.ATACSeq_REPLICANT.2,3hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.1,24hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.2,24hrs.ATACSeq
