,timepoints
6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq
6hrs.ATACSeq_REPLICANT.2,6hrs.ATACSeq
12hrs.ATACSeq_REPLICANT.1,12hrs.ATACSeq
12hrs.ATACSeq_REPLICANT.2,12hrs.ATACSeq
