,timepoints
12hrs.ATACSeq_REPLICANT.1,12hrs.ATACSeq
12hrs.ATACSeq_REPLICANT.2,12hrs.ATACSeq
72hrs.ATACSeq_REPLICANT.1,72hrs.ATACSeq
72hrs.ATACSeq_REPLICANT.2,72hrs.ATACSeq
