"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Module_25040",9.73582474231751,-4.44884101977445,1.29581903697791,-3.43322708867587,0.000596442316859467,0.0188430217918666
"Module_12878",50.9113486341729,1.62770735457562,0.407001203779119,3.99926914088191,6.35383919535538e-05,0.00365679964610484
"Module_5502",64.3854631333385,1.92732648395169,0.370552628385189,5.20122200279805,1.9798244072545e-07,4.24266829152195e-05
"Module_5503",42.7252444042188,2.3963544602633,0.468531844198475,5.1146031799883,3.14401196868573e-07,6.0455101493004e-05
"Module_16511",88.8621432815193,1.53663249741766,0.291639099821236,5.26895227135032,1.37204630607217e-07,3.1850937821529e-05
"Module_16512",76.0549027291997,1.53659196511448,0.312939895966198,4.91018238620635,9.0991722842316e-07,0.000136575888467076
"Module_5514",36.033616778952,-1.37790192031103,0.448264262601225,-3.07386074525599,0.00211308041289966,0.0452730340942273
"Module_5515",34.2046680781345,-1.45380777286625,0.461296492417995,-3.15156910308546,0.00162395730563715,0.0377575380610655
"Module_5516",33.819160536414,-1.43332191979451,0.464843650535673,-3.08344949563748,0.00204615837647198,0.0444371135080817
"Module_5532",11.4639179482872,2.90630871729258,0.95209229640934,3.05254934658462,0.00226906419849071,0.0474250415587015
"Module_12919",47.5628247017183,1.28619016204967,0.396111970816481,3.24703684010994,0.00116613294198322,0.0299948280153066
"Module_19445",28.9834544371757,-2.80143503700824,0.553226700673039,-5.06381024921627,4.10958706801371e-07,7.38335054396221e-05
"Module_17352",36.5663097311839,1.50757949438172,0.454211822658181,3.31911108248772,0.000903044988920325,0.0249410088438375
"Module_5545",42.0401272910413,1.59600648488422,0.479845171950753,3.3260863673919,0.000880746335113814,0.0244580713341169
"Module_29208",33.309105619368,-1.42258985414709,0.469410773169625,-3.03058629128018,0.00244079430477592,0.0499002159791917
"Module_22282",72.7309785423051,1.4714738900391,0.320200429833135,4.59547756012047,4.31759259026368e-06,0.000484510161556624
"Module_17418",86.8657978743242,0.913865894143296,0.292422029031439,3.1251609092865,0.0017770782239485,0.0403678184294508
"Module_14453",28.0501337435383,3.15407742001915,0.642830285853453,4.90654763695778,9.26934835177137e-07,0.000138545600385531
"Module_35484",41.003664917402,-2.95537066450132,0.47759491085273,-6.18802796542494,6.09215225884454e-10,5.03991005357853e-07
"Module_33383",26.1645825130647,-2.51987818346398,0.575384418598522,-4.37946892896701,1.18968882087276e-05,0.00102471671731009
"Module_12952",154.493535294547,0.676403133406734,0.21946722959091,3.08202338302424,0.00205598686302273,0.0444985577686721
"Module_7618",15.8777836745195,2.61515311639366,0.775919000728319,3.37039447924196,0.0007506064713926,0.0221503548248289
"Module_7619",36.9549454430086,1.52682849753039,0.446651335431422,3.41839008732756,0.000629927542310836,0.0196891135797655
"Module_19456",68.203814554517,1.14009794266299,0.325606831997088,3.50145583761334,0.000462723653065772,0.0158661957144273
"Module_27505",168.354254673795,0.67377199017458,0.213677897178422,3.15321331345739,0.00161483757726389,0.037654176674318
"Module_27507",82.143875132657,0.988819094006605,0.301639478986391,3.27814879315322,0.00104490301118049,0.0277597720811977
"Module_17446",23.3695599410747,1.9668752038707,0.613728952489693,3.20479455285879,0.00135158917047798,0.0332274233320064
"Module_14468",30.2337958299449,1.97048486531289,0.522147523345317,3.77380869814014,0.000160774062257481,0.00723479439197403
"Module_17467",150.656132397766,0.737096129332331,0.225775145280887,3.26473548899862,0.00109566342924913,0.0288232429759868
"Module_134",22.6862088030668,1.96989035971109,0.616811199075738,3.19366827752622,0.00140477437222667,0.034064102756114
"Module_27528",15.3579811137902,-2.44993246097461,0.746613746973812,-3.28139211326435,0.00103296033019792,0.0275453506942508
"Module_142",31.5396819565833,1.62843578234989,0.489189267712536,3.32884609256558,0.000872065806155135,0.0243690134455607
"Module_33424",71.0359143752038,0.993763095968361,0.320728712188978,3.0984537966243,0.00194533300583775,0.0429022510952674
"Module_27551",10.7331588768046,-3.15653855954244,0.991612932944609,-3.18323657817678,0.00145638565100096,0.0350527785947612
"Module_27554",22.3002062846298,1.98247913052412,0.610201961679172,3.24889012986565,0.00115856217637674,0.0298865353881433
"Module_5610",47.6600862509977,1.96273945654261,0.414682437160153,4.73311450078266,2.21100678045121e-06,0.000279900869042672
"Module_29246",32.6660542722859,-1.77840440187496,0.484779203643149,-3.66848327756252,0.000243993649613469,0.00993087654199078
"Module_14503",30.2650182903198,-1.86795770210784,0.513079926345729,-3.64067586002021,0.00027192330004757,0.0107003623369383
"Module_27560",18.964444427465,-2.66637634035432,0.675376928197357,-3.94798256948327,7.88125412622239e-05,0.00428030309972686
"Module_27561",18.5454539143349,-2.77304679795788,0.692696400072483,-4.00326434158992,6.2474429651844e-05,0.00362545332137854
"Module_29250",22.2700425215151,-2.26326672335491,0.607133571190424,-3.72779044142997,0.00019316588967789,0.00830893614693057
"Module_37099",22.5430471439675,1.81399745598677,0.586890844548015,3.09086003443074,0.00199577686246769,0.0437230166302736
"Module_33453",48.2645588334749,-1.25398380889629,0.380869444026338,-3.29242429017113,0.000993276371011551,0.0267680457166621
"Module_7654",17.3987854796234,3.18642322065859,0.813008312845948,3.91929968034947,8.88066370686046e-05,0.00465946681481043
"Module_17511",49.7082833315328,1.44312505454957,0.390173998111467,3.69867049453483,0.000216731744654117,0.00907035100303638
"Module_17512",38.0133618624595,-1.44823224305801,0.440708569774462,-3.28614495470139,0.00101568727337218,0.0271661980268185
"Module_3797",27.970422706218,-1.97497217412328,0.561022866415727,-3.52030602021806,0.000431049158782855,0.0151213904659021
"Module_5625",17.6712659241072,2.91322116246707,0.762865909955389,3.81878535198595,0.000134110391167807,0.00629184349059452
"Module_17514",119.53423349623,0.754030910663278,0.242069875311275,3.11493080125596,0.00183988067392941,0.0412879163415464
"Module_37112",11.9301360297432,-2.7764539482066,0.884071063847765,-3.14053254511302,0.00168640968921924,0.0388792299900169
"Module_22336",13.3267344775091,2.97870905077332,0.924081969211894,3.22342513977815,0.00126667402255694,0.0318585966468714
"Module_27595",20.9167595119844,2.09368906995269,0.627213573406817,3.33807997582142,0.000843594646538779,0.0239307754077544
"Module_16548",18.8423367584416,2.57817078050884,0.701697857123124,3.67418933140117,0.000238605761927585,0.00975623306787354
"Module_178",29.498936785595,-1.6772973781201,0.499869020014092,-3.35547375605077,0.000792291735159094,0.0229863955210586
"Module_179",27.0919192006943,-1.70003078220604,0.526577495142329,-3.22845316765111,0.00124461636203272,0.0314674753707106
"Module_13052",23.1781432889959,2.87009997464991,0.662097608105947,4.3348593009728,1.45853379886344e-05,0.00119274535234412
"Module_19478",16.3901414257891,2.79250700032088,0.78651504078863,3.55048137098671,0.000384527348733367,0.0139153523667264
"Module_14537",19.155161610981,2.86611093149496,0.724440829439545,3.9563078377461,7.61170632746173e-05,0.00415931227629487
"Module_14542",22.3540797471731,-1.82840400254937,0.576279185389965,-3.17277467051339,0.00150989660441522,0.0359515073017821
"Module_13066",25.9606133062753,2.48637331916782,0.616212388516676,4.03492913401648,5.46187798426221e-05,0.00327154143559838
"Module_37117",73.4434849617846,-1.10902421074108,0.327664773834803,-3.38463057154935,0.000712741106767017,0.0214141379991749
"Module_17616",56.8907233142315,2.2296613228883,0.383652202887196,5.81167345347912,6.18514013940421e-09,2.7506216947852e-06
"Module_37121",38.4442745372836,-2.41084271139863,0.473972589279705,-5.08646020028791,3.64808231765577e-07,6.68934187041076e-05
"Module_7693",50.804313020572,1.62097636742897,0.400916117796258,4.04318084376127,5.27309174264243e-05,0.00318471464449948
"Module_27641",18.0600469329333,-2.28327707988835,0.714629787717426,-3.1950488478535,0.00139807175528673,0.0339775092451139
"Module_33472",27.59700066473,2.41689746146678,0.57539268454049,4.20043133394531,2.66406957721069e-05,0.00193406014428808
"Module_25071",59.0332808275748,-1.36617225114388,0.342360234866783,-3.99045248837232,6.59473593169103e-05,0.00371782157366157
"Module_25084",21.3068509527062,-1.90605388842818,0.613594734958746,-3.10637262648013,0.00189397884081566,0.0421354029420484
"Module_16575",14.1884836057021,2.68713298280431,0.828265109366274,3.24429093102848,0.00117743417786738,0.0301764164331961
"Module_14583",12.203694823757,4.52483508699528,1.24832243885155,3.62473263811399,0.000289260540157722,0.0112149078141477
"Module_33488",41.5050348385201,-1.37406831264493,0.420740580014078,-3.26583262446174,0.00109142739681665,0.0287382285617756
