Module,12hrs.ATACSeq_REPLICANT.1,12hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_19414,0,4,8,12
Module_19415,25,19,51,53
Module_14386,8,4,13,8
Module_14387,8,6,13,19
Module_14388,0,4,10,4
Module_14389,38,50,48,44
Module_14390,14,12,14,13
Module_19416,9,8,2,0
Module_19417,8,36,12,29
Module_14391,9,9,12,7
Module_14392,2,10,26,33
Module_14393,5,4,18,28
Module_19418,17,21,14,12
Module_14394,56,57,89,106
Module_37075,16,10,5,16
Module_19419,22,29,17,16
Module_29123,6,27,33,26
Module_29124,104,97,99,87
Module_29125,7,6,2,4
Module_33277,34,65,21,32
Module_29126,9,14,6,10
Module_29127,4,8,13,9
Module_27429,0,4,2,4
Module_29128,6,2,1,8
Module_37076,20,22,14,18
Module_37077,7,8,4,8
Module_12851,12,22,29,25
Module_33278,14,15,33,22
Module_3775,23,25,25,39
Module_33279,30,26,32,32
Module_12852,31,38,48,39
Module_33280,7,16,20,20
Module_12853,29,39,50,38
Module_27430,10,6,6,2
Module_29129,4,4,6,7
Module_29130,8,6,10,14
Module_33281,3,8,8,4
Module_12854,4,6,10,10
Module_33282,10,18,31,33
Module_29131,0,3,4,4
Module_12855,14,24,44,52
Module_19420,32,21,25,22
Module_29132,10,6,12,21
Module_33283,21,18,31,29
Module_29133,24,30,7,6
Module_29134,2,8,4,1
Module_29135,17,9,6,8
Module_14395,22,38,48,38
Module_33284,6,2,21,11
Module_14396,4,2,2,6
Module_3776,85,117,112,114
Module_14397,18,21,19,16
Module_14398,4,10,14,12
Module_29136,8,4,7,8
Module_33285,6,8,13,19
Module_7573,10,13,10,8
Module_29137,29,60,69,43
Module_33286,27,34,38,39
Module_33287,50,73,62,55
Module_33288,19,33,43,55
Module_16497,2,0,10,14
Module_14399,0,2,19,22
Module_29138,8,2,14,16
Module_12856,30,40,24,33
Module_27431,5,8,10,19
Module_33289,16,19,14,12
Module_7574,20,24,28,25
Module_5454,28,22,44,63
Module_7575,4,13,25,34
Module_7576,16,41,45,42
Module_7577,11,8,23,16
Module_37078,67,90,79,83
Module_12857,16,26,40,40
Module_35464,12,12,10,8
