Module,0hrs.ATACSeq_REPLICANT.1,0hrs.ATACSeq_REPLICANT.2,6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq_REPLICANT.2
Module_19414,17,2,6,12
Module_19415,44,35,29,49
Module_14386,7,3,8,5
Module_14387,10,10,6,11
Module_14388,7,4,3,2
Module_14389,38,22,26,38
Module_14390,15,4,25,19
Module_19416,2,2,11,3
Module_19417,26,13,15,27
Module_14391,16,6,2,3
Module_14392,13,6,6,18
Module_14393,12,6,4,4
Module_19418,32,12,8,14
Module_14394,89,45,79,67
Module_37075,20,14,8,13
Module_19419,18,15,10,21
Module_29123,25,11,16,18
Module_29124,122,68,80,119
Module_29125,4,8,1,0
Module_33277,58,33,32,33
Module_29126,20,17,11,9
Module_29127,8,2,5,6
Module_27429,6,5,0,7
Module_29128,4,0,4,8
Module_37076,20,14,14,12
Module_37077,6,2,1,1
Module_12851,12,8,19,22
Module_33278,30,10,12,17
Module_3775,18,10,14,10
Module_33279,48,27,24,20
Module_12852,42,18,45,24
Module_33280,24,18,9,8
Module_12853,39,18,42,21
Module_27430,12,0,17,13
Module_29129,5,2,6,10
Module_29130,18,10,6,6
Module_33281,18,7,9,8
Module_12854,11,6,6,7
Module_33282,18,6,12,4
Module_29131,4,4,12,6
Module_12855,35,10,34,32
Module_19420,35,25,24,32
Module_29132,2,0,8,4
Module_33283,18,5,8,4
Module_29133,24,16,8,12
Module_29134,7,2,8,3
Module_29135,3,6,12,3
Module_14395,33,22,32,18
Module_33284,4,8,2,0
Module_14396,8,4,2,4
Module_3776,103,61,82,99
Module_14397,16,15,4,2
Module_14398,6,8,10,12
Module_29136,9,2,0,0
Module_33285,19,2,5,1
Module_7573,2,12,4,10
Module_29137,73,44,34,41
Module_33286,48,36,21,36
Module_33287,82,40,41,51
Module_33288,49,35,19,32
Module_16497,0,0,0,2
Module_14399,7,4,0,6
Module_29138,4,6,2,0
Module_12856,28,14,20,24
Module_27431,9,2,5,4
Module_33289,26,10,7,10
Module_7574,36,14,20,16
Module_5454,44,35,32,77
Module_7575,26,9,9,12
Module_7576,45,14,34,42
Module_7577,31,10,10,16
Module_37078,113,74,67,94
Module_12857,42,28,12,32
Module_35464,12,12,8,7
Module_7578,25,10,8,2
Module_31171,8,4,14,10
Module_33290,29,6,14,14
Module_37079,0,3,1,0
Module_31172,9,10,9,4
Module_35465,7,2,2,15
Module_14400,6,0,0,0
Module_12858,102,57,70,114
Module_14401,19,2,9,16
Module_14402,8,1,4,16
Module_25040,25,11,8,10
Module_14403,82,33,54,72
Module_31173,12,4,3,2
Module_14404,50,21,38,51
Module_31174,14,7,5,7
Module_14405,18,16,19,21
Module_31175,2,4,3,10
Module_25041,48,22,13,26
Module_31176,12,4,4,0
Module_22221,44,24,46,58
Module_7579,38,25,38,41
Module_7580,17,13,21,12
Module_5455,11,13,20,16
Module_7581,14,16,6,8
Module_7582,16,0,10,25
Module_25042,8,0,0,0
