Module,6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq_REPLICANT.2,12hrs.ATACSeq_REPLICANT.1,12hrs.ATACSeq_REPLICANT.2
Module_19414,6,12,0,4
Module_19415,29,49,25,19
Module_14386,8,5,8,4
Module_14387,6,11,8,6
Module_14388,3,2,0,4
Module_14389,26,38,38,50
Module_14390,25,19,14,12
Module_19416,11,3,9,8
Module_19417,15,27,8,36
Module_14391,2,3,9,9
Module_14392,6,18,2,10
Module_14393,4,4,5,4
Module_19418,8,14,17,21
Module_14394,79,67,56,57
Module_37075,8,13,16,10
Module_19419,10,21,22,29
Module_29123,16,18,6,27
Module_29124,80,119,104,97
Module_29125,1,0,7,6
Module_33277,32,33,34,65
Module_29126,11,9,9,14
Module_29127,5,6,4,8
Module_27429,0,7,0,4
Module_29128,4,8,6,2
Module_37076,14,12,20,22
Module_37077,1,1,7,8
Module_12851,19,22,12,22
Module_33278,12,17,14,15
Module_3775,14,10,23,25
Module_33279,24,20,30,26
Module_12852,45,24,31,38
Module_33280,9,8,7,16
Module_12853,42,21,29,39
Module_27430,17,13,10,6
Module_29129,6,10,4,4
Module_29130,6,6,8,6
Module_33281,9,8,3,8
Module_12854,6,7,4,6
Module_33282,12,4,10,18
Module_29131,12,6,0,3
Module_12855,34,32,14,24
Module_19420,24,32,32,21
Module_29132,8,4,10,6
Module_33283,8,4,21,18
Module_29133,8,12,24,30
Module_29134,8,3,2,8
Module_29135,12,3,17,9
Module_14395,32,18,22,38
Module_33284,2,0,6,2
Module_14396,2,4,4,2
Module_3776,82,99,85,117
Module_14397,4,2,18,21
Module_14398,10,12,4,10
Module_29136,0,0,8,4
Module_33285,5,1,6,8
Module_7573,4,10,10,13
Module_29137,34,41,29,60
Module_33286,21,36,27,34
Module_33287,41,51,50,73
Module_33288,19,32,19,33
Module_16497,0,2,2,0
Module_14399,0,6,0,2
Module_29138,2,0,8,2
Module_12856,20,24,30,40
Module_27431,5,4,5,8
Module_33289,7,10,16,19
Module_7574,20,16,20,24
Module_5454,32,77,28,22
Module_7575,9,12,4,13
Module_7576,34,42,16,41
Module_7577,10,16,11,8
Module_37078,67,94,67,90
Module_12857,12,32,16,26
Module_35464,8,7,12,12
Module_7578,8,2,2,6
Module_31171,14,10,12,14
Module_33290,14,14,8,16
Module_37079,1,0,2,6
Module_31172,9,4,6,9
Module_35465,2,15,6,14
Module_14400,0,0,4,6
Module_12858,70,114,50,74
Module_14401,9,16,9,16
Module_14402,4,16,10,5
Module_25040,8,10,14,2
Module_14403,54,72,66,82
Module_31173,3,2,14,9
Module_14404,38,51,56,53
Module_31174,5,7,15,13
Module_14405,19,21,30,44
Module_31175,3,10,10,4
Module_25041,13,26,27,34
Module_31176,4,0,20,12
Module_22221,46,58,39,42
Module_7579,38,41,42,42
Module_7580,21,12,9,17
Module_5455,20,16,2,4
Module_7581,6,8,4,2
Module_7582,10,25,10,5
Module_25042,0,0,8,4
Module_22222,46,42,65,62
Module_7583,32,28,20,14
Module_17284,42,44,30,22
Module_5456,10,8,18,18
Module_5457,6,22,28,22
Module_25043,7,2,16,10
Module_14406,4,7,7,9
Module_14407,22,9,14,11
Module_17285,8,18,6,10
Module_7584,6,11,14,14
Module_22223,15,20,9,16
Module_7585,9,8,23,8
Module_17286,4,5,2,4
Module_22224,20,13,21,3
Module_22225,26,29,15,24
Module_5458,2,6,5,2
Module_22226,0,1,8,1
Module_5459,0,0,1,4
Module_19421,18,20,10,21
Module_12859,47,78,23,56
Module_5460,11,17,14,26
Module_7586,8,11,13,12
Module_19422,26,28,35,48
Module_17287,26,53,18,34
Module_19423,18,24,16,29
Module_17288,28,58,19,34
Module_19424,15,21,19,26
Module_17289,108,140,60,96
Module_22227,86,94,59,68
Module_5461,18,24,24,32
Module_17290,21,28,28,36
Module_5462,6,4,1,4
Module_5463,5,6,6,10
Module_7587,33,59,30,42
Module_5464,4,10,6,7
Module_27432,63,43,26,43
Module_5465,14,5,14,22
Module_5466,2,8,7,18
Module_16498,11,22,31,40
Module_22228,71,90,49,65
Module_16499,12,23,30,35
Module_22229,70,88,50,64
Module_16500,12,22,30,34
Module_22230,69,87,50,63
Module_16501,12,22,32,34
Module_5467,31,32,24,34
Module_29139,0,2,4,8
Module_5468,22,14,12,24
Module_5469,5,8,4,2
Module_22231,157,172,78,101
Module_19425,30,36,32,41
Module_22232,18,29,14,16
Module_16502,2,2,0,0
Module_5470,5,6,7,6
Module_5471,12,16,7,9
Module_29140,16,29,20,22
Module_19426,13,14,4,9
Module_29141,15,33,19,23
Module_19427,17,28,11,12
Module_12860,7,6,2,7
Module_29142,72,62,83,84
Module_5472,6,4,10,2
Module_37080,8,4,16,17
Module_5473,6,4,10,2
Module_37081,9,4,17,22
Module_22233,79,128,78,88
Module_12861,12,12,2,2
Module_7588,30,51,25,42
Module_5474,6,14,0,8
Module_27433,55,52,45,56
Module_37082,4,8,12,29
Module_5475,30,39,24,28
Module_35466,0,2,4,4
Module_22234,31,22,11,26
Module_7589,4,6,16,13
Module_29143,14,28,20,27
Module_17291,2,4,4,6
Module_5476,7,0,0,7
Module_22235,12,18,6,8
Module_5477,36,50,37,49
Module_22236,26,26,28,30
Module_5478,22,11,6,17
Module_5479,18,13,15,10
Module_29144,59,27,31,61
Module_16503,0,25,17,24
Module_22237,16,21,18,21
Module_5480,8,12,6,8
Module_31177,20,35,44,48
Module_5481,6,4,11,14
Module_29145,10,10,14,13
Module_29146,32,50,43,68
Module_22238,6,2,4,7
Module_5482,56,86,58,76
Module_31178,20,22,14,16
Module_12862,10,8,0,4
Module_5483,12,4,13,18
Module_12863,4,4,4,6
Module_12864,18,39,20,40
Module_17292,10,10,17,12
Module_12865,21,33,20,36
Module_17293,6,12,19,14
Module_12866,12,8,12,9
Module_12867,9,10,5,6
Module_22239,26,54,18,26
Module_29147,22,4,10,13
Module_5484,25,35,25,43
Module_17294,25,40,21,41
Module_35467,18,11,7,23
Module_12868,4,2,8,6
Module_12869,26,37,22,47
Module_35468,8,7,10,19
Module_12870,26,37,22,46
Module_35469,11,7,10,19
Module_12871,26,37,21,46
Module_29148,9,6,2,3
Module_5485,12,12,14,6
Module_29149,10,16,22,20
Module_12872,52,54,40,51
Module_29150,7,4,6,6
Module_35470,14,5,8,3
Module_12873,56,29,17,26
Module_12874,26,27,25,24
Module_5486,75,107,66,103
Module_7590,5,10,0,0
Module_29151,0,6,0,6
Module_12875,2,3,0,6
Module_5487,4,2,8,14
Module_16504,8,2,2,5
Module_17295,28,26,21,41
Module_17296,32,49,26,30
Module_16505,6,6,8,15
Module_12876,2,9,1,5
Module_29152,4,2,0,0
Module_19428,28,28,42,44
Module_37083,32,44,68,54
Module_17297,4,0,4,4
Module_12877,20,20,16,16
Module_16506,4,2,2,0
Module_35471,6,14,8,12
Module_35472,0,4,8,7
Module_29153,12,8,12,16
Module_35473,8,10,5,18
Module_17298,116,150,98,96
Module_29154,4,8,2,9
Module_17299,62,69,63,55
Module_29155,8,10,24,34
Module_29156,2,4,10,12
Module_29157,5,3,16,5
Module_35474,28,31,37,42
Module_29158,3,5,7,2
Module_35475,63,64,57,70
Module_17300,39,30,14,31
Module_29159,5,4,8,10
Module_17301,28,37,18,27
Module_29160,0,9,4,3
Module_29161,4,4,16,18
Module_29162,12,5,21,16
Module_17302,45,53,18,39
Module_17303,3,14,10,6
Module_22240,2,4,5,6
Module_5488,67,86,33,58
Module_17304,21,40,12,28
Module_35476,18,17,11,8
Module_33291,8,10,8,8
Module_17305,8,1,2,4
Module_17306,36,31,24,14
Module_12878,16,24,29,13
Module_22241,8,28,11,12
Module_35477,19,17,30,40
Module_5489,0,0,5,4
Module_31179,24,19,43,43
Module_22242,12,14,8,13
Module_33292,0,0,3,10
Module_33293,61,56,26,52
Module_5490,16,43,34,52
Module_22243,17,20,19,13
Module_5491,29,46,39,64
Module_22244,19,28,25,21
Module_5492,24,37,27,46
Module_22245,19,28,26,22
Module_5493,23,33,26,42
Module_22246,17,27,27,28
Module_5494,28,25,19,26
Module_33294,30,36,24,44
Module_5495,28,26,20,27
Module_33295,28,35,23,44
Module_5496,28,26,20,28
Module_33296,30,42,8,20
Module_17307,4,4,3,6
Module_33297,14,15,25,22
Module_22247,24,52,6,10
Module_27434,37,25,15,35
Module_27435,16,8,20,12
Module_27436,13,22,16,28
Module_17308,27,32,11,4
Module_12879,17,19,15,12
Module_17309,22,31,8,3
Module_5497,16,28,18,32
Module_27437,12,22,19,30
Module_12880,24,23,18,15
Module_5498,16,30,18,33
Module_12881,24,21,20,18
Module_33298,5,6,3,4
Module_17310,20,27,25,11
Module_16507,4,8,8,8
Module_16508,20,17,22,24
Module_22248,12,8,6,6
Module_17311,9,5,1,11
Module_33299,6,30,17,18
Module_33300,4,16,14,16
Module_29163,8,13,7,21
Module_17312,14,14,14,14
Module_7591,4,9,2,13
Module_22249,10,8,4,5
Module_12882,4,8,6,10
Module_17313,15,40,22,34
Module_22250,2,1,2,2
Module_14408,1,2,1,4
Module_7592,4,0,0,1
Module_17314,30,36,32,32
Module_7593,2,6,1,1
Module_22251,19,10,4,6
Module_29164,2,4,13,8
Module_22252,20,9,5,6
Module_27438,16,28,29,24
Module_22253,6,10,2,4
Module_12883,12,5,7,12
Module_5499,18,12,0,5
Module_33301,27,18,33,34
Module_5500,33,46,37,33
Module_7594,18,43,29,30
Module_22254,9,9,7,12
Module_22255,28,28,36,28
Module_5501,10,8,18,12
Module_22256,24,27,34,26
Module_12884,9,16,6,14
Module_19429,10,2,4,10
Module_17315,6,13,12,8
Module_12885,58,88,57,84
Module_14409,13,26,13,14
Module_17316,22,44,16,26
Module_12886,26,62,29,20
Module_16509,24,10,11,26
Module_35478,44,46,21,36
Module_5502,33,35,44,39
Module_12887,52,72,37,60
Module_5503,47,33,30,27
Module_22257,22,23,15,19
Module_5504,38,31,33,34
Module_22258,19,33,15,17
Module_17317,2,10,1,1
Module_27439,2,25,6,4
Module_22259,8,29,18,15
Module_22260,14,8,1,10
Module_27440,4,12,4,14
Module_22261,8,13,6,0
Module_7595,9,2,5,5
Module_7596,7,6,8,5
Module_22262,6,9,10,13
Module_27441,49,62,52,94
Module_14410,6,2,15,4
Module_27442,8,9,4,9
Module_31180,30,24,19,37
Module_27443,4,11,3,8
Module_31181,16,19,16,28
Module_19430,14,8,11,17
Module_17318,23,16,7,10
Module_17319,22,32,25,8
Module_16510,8,6,9,2
Module_29165,36,38,32,38
Module_22263,23,12,6,14
Module_3777,37,52,47,63
Module_17320,13,14,10,12
