Module,6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_5486,75,107,101,121
Module_7590,5,10,16,8
Module_29151,0,6,10,10
Module_12875,2,3,22,1
Module_5487,4,2,22,12
Module_16504,8,2,16,12
Module_17295,28,26,38,35
Module_17296,32,49,41,54
Module_16505,6,6,19,8
Module_12876,2,9,7,4
Module_29152,4,2,6,6
Module_19428,28,28,48,41
Module_37083,32,44,86,91
Module_17297,4,0,8,4
Module_12877,20,20,22,20
Module_16506,4,2,4,2
Module_35471,6,14,20,26
Module_35472,0,4,4,3
Module_29153,12,8,31,30
Module_35473,8,10,12,16
Module_17298,116,150,132,137
Module_29154,4,8,10,0
Module_17299,62,69,70,83
Module_29155,8,10,37,18
Module_29156,2,4,7,14
Module_29157,5,3,7,14
Module_35474,28,31,16,28
Module_29158,3,5,8,12
Module_35475,63,64,46,42
Module_17300,39,30,40,26
Module_29159,5,4,8,8
Module_17301,28,37,30,39
Module_29160,0,9,11,10
Module_29161,4,4,22,24
Module_29162,12,5,21,11
Module_17302,45,53,75,80
Module_17303,3,14,26,20
Module_22240,2,4,4,2
Module_5488,67,86,63,76
Module_17304,21,40,36,17
Module_35476,18,17,3,8
Module_33291,8,10,17,14
Module_17305,8,1,7,7
Module_17306,36,31,32,31
Module_12878,16,24,72,109
Module_22241,8,28,12,9
Module_35477,19,17,14,32
Module_5489,0,0,13,13
Module_31179,24,19,63,57
Module_22242,12,14,18,12
Module_33292,0,0,6,16
Module_33293,61,56,64,71
Module_5490,16,43,29,36
Module_22243,17,20,25,10
Module_5491,29,46,48,49
Module_22244,19,28,34,25
Module_5492,24,37,44,42
Module_22245,19,28,33,27
Module_5493,23,33,42,39
Module_22246,17,27,36,32
Module_5494,28,25,38,41
Module_33294,30,36,17,16
Module_5495,28,26,39,41
Module_33295,28,35,16,15
Module_5496,28,26,40,43
Module_33296,30,42,25,31
Module_17307,4,4,21,9
Module_33297,14,15,15,30
Module_22247,24,52,16,16
Module_27434,37,25,54,30
Module_27435,16,8,11,18
Module_27436,13,22,13,18
Module_17308,27,32,32,32
Module_12879,17,19,18,13
Module_17309,22,31,25,30
Module_5497,16,28,22,19
Module_27437,12,22,26,25
Module_12880,24,23,16,11
Module_5498,16,30,22,19
Module_12881,24,21,15,13
Module_33298,5,6,12,10
Module_17310,20,27,27,20
Module_16507,4,8,17,20
Module_16508,20,17,16,18
Module_22248,12,8,10,7
Module_17311,9,5,9,17
Module_33299,6,30,13,14
Module_33300,4,16,14,18
Module_29163,8,13,12,7
Module_17312,14,14,5,6
Module_7591,4,9,11,28
Module_22249,10,8,8,4
Module_12882,4,8,20,19
Module_17313,15,40,36,57
Module_22250,2,1,2,0
Module_14408,1,2,16,5
Module_7592,4,0,8,4
Module_17314,30,36,51,35
Module_7593,2,6,8,18
Module_22251,19,10,2,16
Module_29164,2,4,12,5
Module_22252,20,9,3,16
Module_27438,16,28,26,45
Module_22253,6,10,6,8
Module_12883,12,5,12,15
Module_5499,18,12,3,6
Module_33301,27,18,35,25
Module_5500,33,46,58,50
Module_7594,18,43,80,82
Module_22254,9,9,16,2
Module_22255,28,28,23,32
Module_5501,10,8,21,17
Module_22256,24,27,22,30
Module_12884,9,16,19,18
Module_19429,10,2,36,39
Module_17315,6,13,14,18
Module_12885,58,88,82,71
Module_14409,13,26,30,34
Module_17316,22,44,32,27
Module_12886,26,62,23,40
Module_16509,24,10,12,23
Module_35478,44,46,41,38
Module_5502,33,35,102,138
Module_12887,52,72,72,62
Module_5503,47,33,65,103
Module_22257,22,23,11,16
Module_5504,38,31,29,45
Module_22258,19,33,14,16
Module_17317,2,10,9,6
Module_27439,2,25,26,14
Module_22259,8,29,32,24
Module_22260,14,8,15,12
Module_27440,4,12,11,16
Module_22261,8,13,14,22
Module_7595,9,2,19,12
Module_7596,7,6,14,27
Module_22262,6,9,11,14
Module_27441,49,62,70,58
Module_14410,6,2,21,12
Module_27442,8,9,22,15
Module_31180,30,24,28,33
Module_27443,4,11,17,8
Module_31181,16,19,22,25
Module_19430,14,8,22,10
Module_17318,23,16,10,10
Module_17319,22,32,36,29
Module_16510,8,6,4,4
Module_29165,36,38,31,30
Module_22263,23,12,18,18
Module_3777,37,52,28,28
Module_17320,13,14,15,12
Module_3778,33,47,19,21
Module_17321,14,16,18,13
Module_3779,47,55,40,36
Module_29166,50,39,61,67
Module_3780,8,10,9,6
Module_12888,8,14,19,8
Module_35479,12,14,28,17
Module_27444,24,31,17,20
Module_35480,12,11,26,13
Module_27445,32,49,41,40
Module_31182,12,4,11,10
Module_27446,49,50,71,55
Module_19431,83,110,116,113
Module_27447,33,44,77,70
Module_7597,37,46,58,52
Module_12889,13,18,47,63
Module_7598,41,44,52,46
Module_17322,30,50,42,40
Module_12890,21,38,45,59
Module_7599,39,36,46,39
Module_17323,40,56,47,44
Module_7600,34,32,44,37
Module_17324,66,84,65,67
Module_7601,12,16,24,24
Module_31183,22,21,12,24
Module_17325,89,92,78,99
Module_31184,21,27,15,30
Module_17326,187,185,174,211
Module_27448,12,17,6,8
Module_31185,37,48,40,43
Module_31186,5,6,5,8
Module_7602,38,42,37,34
Module_16511,42,44,147,162
Module_31187,6,2,8,6
Module_16512,38,39,135,129
Module_27449,6,0,15,6
Module_12891,84,111,96,129
Module_3781,8,7,12,12
Module_35481,6,11,12,4
Module_19432,0,4,7,6
Module_12892,16,31,21,25
Module_14411,51,64,48,30
Module_16513,8,8,2,2
Module_14412,22,26,38,20
Module_31188,16,10,30,26
Module_35482,4,0,6,16
Module_17327,56,62,103,85
Module_33302,45,69,38,49
Module_5505,38,24,31,43
Module_3782,8,4,12,25
Module_14413,19,22,20,25
Module_31189,2,6,11,5
Module_14414,18,20,25,23
Module_22264,25,45,57,83
Module_5506,7,15,20,22
Module_5507,26,20,25,19
Module_12893,33,34,38,40
Module_5508,16,16,20,20
Module_12894,32,34,38,40
Module_31190,12,26,36,36
Module_5509,12,15,20,21
Module_31191,13,26,36,40
Module_12895,40,37,47,51
Module_31192,16,26,37,47
Module_12896,38,37,48,49
Module_31193,16,23,36,49
Module_12897,18,13,27,19
Module_31194,8,11,14,35
Module_16514,12,12,18,11
Module_19433,2,9,6,5
Module_5510,46,50,64,36
Module_17328,9,12,12,14
Module_5511,43,49,64,34
Module_7603,8,2,12,11
Module_12898,12,18,13,22
Module_5512,65,56,48,61
Module_7604,6,2,18,7
Module_12899,37,23,20,10
Module_5513,29,53,65,51
Module_19434,20,18,29,12
Module_7605,14,12,11,11
Module_3783,24,34,22,32
Module_12900,6,10,23,4
Module_7606,12,22,47,58
Module_5514,58,88,19,28
Module_12901,29,30,43,21
Module_5515,62,93,18,25
Module_12902,29,30,40,21
Module_5516,62,91,18,25
Module_12903,31,35,55,37
Module_12904,39,49,53,28
Module_12905,31,28,46,34
Module_33303,6,8,13,18
Module_33304,14,12,14,24
Module_7607,67,65,58,62
Module_33305,14,10,13,23
Module_7608,71,70,68,66
Module_33306,5,8,20,25
Module_7609,64,67,70,68
Module_33307,10,10,24,18
Module_33308,7,12,4,17
Module_29167,2,5,30,17
Module_27450,12,6,6,12
Module_12906,12,6,15,26
Module_27451,6,8,4,13
Module_12907,15,21,29,34
Module_5517,11,19,18,3
Module_5518,24,27,16,22
Module_12908,28,31,47,68
Module_27452,0,4,10,12
Module_27453,3,6,4,0
Module_33309,10,9,8,12
Module_19435,18,18,38,37
Module_7610,12,10,5,2
Module_12909,62,70,67,81
Module_27454,31,34,14,27
Module_27455,12,7,15,14
Module_17329,43,37,53,65
Module_5519,9,10,13,10
Module_17330,42,47,55,72
Module_5520,36,53,56,57
Module_29168,66,69,91,95
Module_27456,26,43,20,28
Module_27457,20,25,35,19
Module_17331,0,10,11,12
Module_27458,13,24,11,26
Module_17332,31,39,31,21
Module_5521,14,17,15,25
Module_17333,35,35,39,25
Module_5522,32,30,73,58
Module_1,4,4,6,2
Module_12910,14,5,8,12
Module_12911,34,24,40,35
Module_22265,14,15,18,21
Module_5523,65,77,99,97
Module_17334,16,16,19,49
Module_12912,12,20,24,15
Module_22266,4,4,4,9
Module_17335,7,7,8,12
Module_17336,14,19,14,19
Module_33310,26,53,44,60
Module_17337,6,5,21,18
Module_12913,7,6,34,25
Module_12914,11,14,12,21
Module_5524,71,72,93,98
Module_22267,18,29,20,22
Module_22268,26,18,17,20
Module_17338,14,9,32,20
Module_22269,26,32,43,52
Module_22270,15,16,20,21
Module_5525,35,35,93,72
Module_22271,2,4,17,7
Module_5526,86,93,95,93
Module_16515,18,10,18,19
Module_3784,20,35,34,25
Module_7611,12,12,36,31
Module_16516,23,12,16,12
Module_12915,7,4,22,18
Module_3785,48,57,61,57
Module_12916,35,39,32,48
Module_16517,20,24,23,20
Module_35483,42,45,49,68
Module_33311,4,0,10,18
Module_17339,23,30,49,51
Module_5527,89,106,98,115
Module_12917,14,9,6,10
Module_5528,86,97,87,90
Module_12918,16,21,20,18
Module_5529,30,41,41,43
Module_5530,82,105,97,144
Module_29169,2,0,12,10
Module_33312,6,12,2,4
Module_5531,45,53,65,79
Module_33313,17,19,29,21
Module_14415,18,34,24,32
Module_5532,8,4,23,24
Module_14416,50,78,40,39
Module_12919,36,58,90,67
Module_29170,4,1,6,17
Module_2,13,22,30,46
Module_7612,42,68,95,66
Module_29171,6,8,11,4
Module_19436,4,13,13,8
Module_33314,2,8,17,18
Module_17340,52,66,68,58
Module_5533,29,35,37,21
Module_7613,39,36,15,19
Module_5534,28,42,44,31
Module_12920,40,38,40,36
Module_29172,4,2,4,2
Module_33315,4,12,4,4
Module_14417,15,9,27,18
Module_33316,4,10,2,2
Module_14418,4,4,16,9
Module_14419,13,7,2,7
Module_3,21,17,21,33
Module_14420,3,7,4,8
Module_4,48,58,113,136
Module_19437,4,6,18,25
Module_14421,24,26,25,37
Module_7614,6,0,8,17
Module_19438,4,4,24,18
Module_14422,26,16,44,10
Module_29173,8,8,9,3
Module_19439,4,26,22,19
Module_29174,6,3,4,4
Module_19440,15,14,4,11
Module_17341,7,16,19,16
Module_5535,8,15,25,20
Module_19441,8,0,8,10
Module_19442,18,13,15,8
Module_17342,26,40,20,30
Module_29175,8,6,8,10
Module_17343,0,4,14,21
Module_5,10,14,17,24
Module_19443,0,0,1,3
Module_14423,19,11,13,15
Module_6,40,33,54,47
Module_17344,15,19,22,10
Module_29176,7,6,12,17
Module_33317,23,22,17,23
