Module,6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_5486,31,43,41,54
Module_7590,8,9,10,16
Module_29151,12,10,21,26
Module_12875,8,7,11,17
Module_5487,8,18,17,29
Module_16504,3,8,12,10
Module_17295,15,40,38,54
Module_17296,7,19,20,40
Module_16505,5,3,9,13
Module_12876,4,9,19,12
Module_29152,5,7,6,7
Module_19428,17,34,31,52
Module_37083,43,61,52,87
Module_17297,10,12,14,15
Module_12877,21,45,26,60
Module_16506,7,9,10,18
Module_35471,2,11,7,19
Module_35472,7,10,9,16
Module_29153,18,20,32,42
Module_35473,15,20,21,33
Module_17298,87,137,64,132
Module_29154,5,8,10,14
Module_17299,41,58,37,70
Module_29155,19,17,37,50
Module_29156,11,9,20,28
Module_29157,3,6,11,21
Module_35474,47,83,53,96
Module_29158,6,6,15,13
Module_35475,53,92,57,104
Module_17300,9,12,28,43
Module_29159,8,6,10,17
Module_17301,21,33,40,89
Module_29160,5,6,12,17
Module_29161,7,16,21,31
Module_29162,11,14,23,31
Module_17302,11,19,13,11
Module_17303,11,16,13,16
Module_22240,3,9,6,5
Module_5488,9,16,11,14
Module_17304,15,19,21,33
Module_35476,17,22,18,29
Module_33291,13,20,31,35
Module_17305,14,19,12,25
Module_17306,33,57,34,81
Module_12878,11,14,21,20
Module_22241,4,11,7,4
Module_35477,9,22,16,22
Module_5489,9,10,13,23
Module_31179,6,19,19,24
Module_22242,21,21,16,26
Module_33292,16,16,17,36
Module_33293,38,56,49,65
Module_5490,13,23,17,34
Module_22243,16,21,18,30
Module_5491,13,19,22,39
Module_22244,12,27,11,40
Module_5492,14,20,22,39
Module_22245,11,28,11,39
Module_5493,13,21,22,40
Module_22246,14,30,18,36
Module_5494,22,30,32,57
Module_33294,35,34,47,57
Module_5495,23,30,34,59
Module_33295,34,34,43,59
Module_5496,23,34,34,60
Module_33296,26,57,40,83
Module_17307,11,13,24,30
Module_33297,15,27,16,34
Module_22247,19,24,25,24
Module_27434,4,4,8,13
Module_27435,16,25,21,34
Module_27436,18,15,15,21
Module_17308,31,47,50,91
Module_12879,5,10,14,18
Module_17309,31,42,47,71
Module_5497,6,15,30,41
Module_27437,7,19,8,17
Module_12880,6,11,14,18
Module_5498,6,14,27,40
Module_12881,5,13,17,26
Module_33298,8,12,21,13
Module_17310,47,75,59,103
Module_16507,12,16,25,30
Module_16508,16,22,28,48
Module_22248,20,14,37,27
Module_17311,5,10,16,29
Module_33299,16,24,23,40
Module_33300,23,28,34,60
Module_29163,4,15,10,12
Module_17312,19,18,23,39
Module_7591,5,10,5,8
Module_22249,10,10,8,13
Module_12882,11,11,21,23
Module_17313,11,15,18,18
Module_22250,8,11,10,12
Module_14408,6,8,6,7
Module_7592,3,4,9,13
Module_17314,6,15,11,32
Module_7593,4,10,12,17
Module_22251,11,18,21,27
Module_29164,6,13,18,17
Module_22252,11,16,24,28
Module_27438,7,6,6,10
Module_22253,16,11,17,17
Module_12883,7,16,10,25
Module_5499,4,5,11,5
Module_33301,16,16,27,39
Module_5500,10,19,22,34
Module_7594,18,20,32,55
Module_22254,9,13,16,21
Module_22255,22,12,13,22
Module_5501,7,8,16,14
Module_22256,16,9,12,17
Module_12884,12,15,10,23
Module_19429,11,3,11,17
Module_17315,8,12,13,17
Module_12885,9,20,22,37
Module_14409,11,16,13,31
Module_17316,25,65,36,55
Module_12886,16,26,28,38
Module_16509,22,31,34,59
Module_35478,24,30,40,63
Module_5502,26,38,43,91
Module_12887,48,104,40,80
Module_5503,23,27,39,71
Module_22257,33,30,29,44
Module_5504,15,26,37,58
Module_22258,29,45,26,53
Module_17317,4,6,9,14
Module_27439,9,8,10,24
Module_22259,40,46,39,63
Module_22260,6,16,12,19
Module_27440,6,8,7,10
Module_22261,4,11,7,16
Module_7595,12,18,17,27
Module_7596,7,9,22,22
Module_22262,12,18,13,20
Module_27441,47,55,69,109
Module_14410,7,9,10,19
Module_27442,5,6,8,21
Module_31180,38,55,35,78
Module_27443,12,7,11,16
Module_31181,24,32,29,62
Module_19430,9,6,15,14
Module_17318,28,55,56,84
Module_17319,7,10,13,22
Module_16510,4,1,2,2
Module_29165,2,6,11,17
Module_22263,7,5,12,24
Module_3777,33,41,42,73
Module_17320,5,4,5,7
Module_3778,19,27,22,34
Module_17321,7,6,6,8
Module_3779,38,56,48,69
Module_29166,15,6,16,20
Module_3780,14,16,13,23
Module_12888,9,18,12,21
Module_35479,7,12,14,25
Module_27444,13,24,10,31
Module_35480,10,10,16,26
Module_27445,16,34,21,50
Module_31182,28,34,39,38
Module_27446,38,45,34,66
Module_19431,32,49,32,53
Module_27447,8,9,20,30
Module_7597,30,44,33,41
Module_12889,16,20,35,73
Module_7598,41,47,19,60
Module_17322,28,37,43,80
Module_12890,16,23,36,69
Module_7599,26,32,19,46
Module_17323,27,39,46,82
Module_7600,28,34,20,43
Module_17324,33,60,46,94
Module_7601,16,16,17,33
Module_31183,24,40,29,39
Module_17325,22,58,34,72
Module_31184,31,44,34,49
Module_17326,37,55,28,74
Module_27448,10,12,10,9
Module_31185,27,41,38,48
Module_31186,31,38,39,51
Module_7602,16,31,36,46
Module_16511,10,20,19,39
Module_31187,13,17,20,20
Module_16512,6,15,15,28
Module_27449,3,10,15,21
Module_12891,23,39,46,80
Module_3781,7,9,7,12
Module_35481,8,11,13,20
Module_19432,5,13,5,15
Module_12892,17,39,28,49
Module_14411,23,39,32,58
Module_16513,7,4,7,7
Module_14412,10,18,21,34
Module_31188,19,40,30,47
Module_35482,5,11,10,25
Module_17327,20,36,36,58
Module_33302,62,79,66,96
Module_5505,27,32,49,98
Module_3782,6,6,15,13
Module_14413,10,22,22,41
Module_31189,4,14,7,18
Module_14414,10,17,21,33
Module_22264,12,22,15,20
Module_5506,13,18,22,48
Module_5507,12,13,33,40
Module_12893,14,13,27,31
Module_5508,14,14,20,36
Module_12894,14,13,26,26
Module_31190,11,36,17,38
Module_5509,13,14,23,37
Module_31191,11,37,15,38
Module_12895,8,11,12,21
Module_31192,11,34,14,37
Module_12896,8,12,11,21
Module_31193,11,34,16,36
Module_12897,15,16,13,31
Module_31194,9,18,15,33
Module_16514,21,33,29,42
Module_19433,9,10,10,21
Module_5510,18,15,16,39
Module_17328,19,17,20,29
Module_5511,7,10,13,30
Module_7603,7,8,11,13
Module_12898,4,11,17,19
Module_5512,50,86,58,158
Module_7604,4,10,9,20
Module_12899,12,15,27,42
Module_5513,18,25,23,55
Module_19434,26,59,37,56
Module_7605,6,8,7,16
Module_3783,18,40,15,49
Module_12900,5,4,8,15
Module_7606,16,24,19,37
Module_5514,41,61,41,74
Module_12901,15,27,18,42
Module_5515,34,46,35,60
Module_12902,17,24,19,42
Module_5516,34,46,38,63
Module_12903,24,36,30,59
Module_12904,23,27,27,63
Module_12905,2,9,8,11
Module_33303,5,13,23,28
Module_33304,38,61,34,106
Module_7607,38,48,29,76
Module_33305,25,45,27,78
Module_7608,44,51,35,85
Module_33306,21,36,25,53
Module_7609,41,61,25,69
Module_33307,22,35,31,52
Module_33308,23,14,31,40
Module_29167,7,19,26,32
Module_27450,15,12,8,17
Module_12906,9,7,5,21
Module_27451,13,8,7,12
Module_12907,6,8,6,16
Module_5517,8,14,17,25
Module_5518,13,9,15,22
Module_12908,9,28,28,44
Module_27452,2,3,5,2
Module_27453,4,2,5,3
Module_33309,11,10,10,16
Module_19435,19,14,12,35
Module_7610,17,17,14,26
Module_12909,30,42,40,74
Module_27454,10,15,12,22
Module_27455,7,12,15,13
Module_17329,22,31,41,67
Module_5519,12,9,24,31
Module_17330,27,33,38,61
Module_5520,6,15,7,16
Module_29168,22,44,24,53
Module_27456,21,25,23,40
Module_27457,8,23,15,26
Module_17331,17,15,27,36
Module_27458,16,21,22,29
Module_17332,23,30,32,62
Module_5521,8,13,14,21
Module_17333,31,32,39,57
Module_5522,12,16,18,35
Module_1,6,3,9,5
Module_12910,6,7,5,12
Module_12911,13,15,13,24
Module_22265,4,9,8,14
Module_5523,26,44,30,36
Module_17334,35,39,44,70
Module_12912,17,26,22,37
Module_22266,10,17,14,22
Module_17335,9,6,12,16
Module_17336,6,5,6,9
Module_33310,8,15,14,28
Module_17337,4,9,15,8
Module_12913,15,18,30,32
Module_12914,15,14,22,48
Module_5524,27,76,72,107
Module_22267,28,61,48,94
Module_22268,21,42,39,60
Module_17338,8,19,25,38
Module_22269,10,17,24,37
Module_22270,12,14,15,31
Module_5525,37,71,49,84
Module_22271,7,13,14,21
Module_5526,13,40,41,89
Module_16515,23,19,12,20
Module_3784,11,27,19,41
Module_7611,12,12,18,27
Module_16516,9,24,8,12
Module_12915,10,8,13,18
Module_3785,16,38,31,36
Module_12916,14,15,18,17
Module_16517,8,7,4,12
Module_35483,15,16,25,44
Module_33311,5,18,14,15
Module_17339,7,25,26,46
Module_5527,53,55,62,103
Module_12917,6,6,8,6
Module_5528,43,44,54,89
Module_12918,4,6,8,4
Module_5529,15,27,24,32
Module_5530,17,40,30,49
Module_29169,11,5,12,18
Module_33312,9,5,12,22
Module_5531,35,42,52,84
Module_33313,18,23,29,60
Module_14415,46,50,37,66
Module_5532,14,13,16,21
Module_14416,34,52,36,47
Module_12919,42,75,46,75
Module_29170,3,2,6,4
Module_2,6,9,17,25
Module_7612,19,36,30,48
Module_29171,10,10,13,15
Module_19436,7,2,10,10
Module_33314,15,10,9,16
Module_17340,11,16,19,35
Module_5533,22,32,18,41
Module_7613,9,36,25,38
Module_5534,43,40,25,61
Module_12920,7,27,15,37
Module_29172,2,1,8,8
Module_33315,13,13,18,27
Module_14417,12,24,18,24
Module_33316,11,12,18,29
Module_14418,6,13,11,28
Module_14419,10,14,8,21
Module_3,5,4,13,15
Module_14420,3,10,13,21
Module_4,18,36,30,65
Module_19437,9,3,20,23
Module_14421,60,56,58,114
Module_7614,7,8,15,15
Module_19438,7,14,22,28
Module_14422,6,5,9,14
Module_29173,11,4,7,7
Module_19439,8,10,9,20
Module_29174,12,18,13,23
Module_19440,2,6,11,12
Module_17341,8,4,8,20
Module_5535,3,7,7,11
Module_19441,10,16,23,36
Module_19442,11,34,32,28
Module_17342,27,21,32,40
Module_29175,2,4,2,1
Module_17343,12,13,9,14
Module_5,10,14,8,34
Module_19443,10,3,11,11
Module_14423,24,24,26,31
Module_6,9,14,23,38
Module_17344,15,35,24,35
Module_29176,2,5,11,6
Module_33317,10,7,8,11
Module_5536,11,8,9,12
Module_17345,2,11,9,16
Module_7,6,7,14,12
Module_19444,29,29,30,37
Module_17346,8,11,14,40
Module_27459,7,2,9,16
Module_19445,32,45,33,78
Module_33318,12,12,22,27
Module_17347,29,41,50,71
Module_29177,10,22,22,34
Module_17348,47,68,53,89
Module_29178,8,15,18,16
Module_17349,55,80,66,105
Module_19446,24,44,30,33
Module_19447,18,16,14,20
Module_17350,20,42,31,81
Module_19448,7,11,23,23
Module_5537,20,12,15,32
Module_8,10,17,17,45
Module_5538,17,8,18,27
