,timepoints
6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac
6hrs.H3K27ac_REPLICANT.2,6hrs.H3K27ac
72hrs.H3K27ac_REPLICANT.1,72hrs.H3K27ac
72hrs.H3K27ac_REPLICANT.2,72hrs.H3K27ac
