,timepoints
0hrs.H3K27ac_REPLICANT.1,0hrs.H3K27ac
0hrs.H3K27ac_REPLICANT.2,0hrs.H3K27ac
6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac
6hrs.H3K27ac_REPLICANT.2,6hrs.H3K27ac
