,timepoints
12hrs.H3K27ac_REPLICANT.1,12hrs.H3K27ac
12hrs.H3K27ac_REPLICANT.2,12hrs.H3K27ac
72hrs.H3K27ac_REPLICANT.1,72hrs.H3K27ac
72hrs.H3K27ac_REPLICANT.2,72hrs.H3K27ac
