,timepoints
12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq
12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq
12hrs.RNASeq_REPLICANT.3,12hrs.RNASeq
72hrs.RNASeq_REPLICANT.1,72hrs.RNASeq
72hrs.RNASeq_REPLICANT.2,72hrs.RNASeq
72hrs.RNASeq_REPLICANT.3,72hrs.RNASeq
