,timepoints
6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq
6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq
6hrs.RNASeq_REPLICANT.3,6hrs.RNASeq
72hrs.RNASeq_REPLICANT.1,72hrs.RNASeq
72hrs.RNASeq_REPLICANT.2,72hrs.RNASeq
72hrs.RNASeq_REPLICANT.3,72hrs.RNASeq
