,timepoints
3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq
3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq
3hrs.RNASeq_REPLICANT.3,3hrs.RNASeq
24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.3,24hrs.RNASeq
