,timepoints
0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq
0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq
0hrs.RNASeq_REPLICANT.3,0hrs.RNASeq
72hrs.RNASeq_REPLICANT.1,72hrs.RNASeq
72hrs.RNASeq_REPLICANT.2,72hrs.RNASeq
72hrs.RNASeq_REPLICANT.3,72hrs.RNASeq
