"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"TMEM234","TMEM234",1.85552141126695e-12,4.94875192844209e-12,-128.448131950764,-160.420134190633,7,2,912.663917781795,0,0,FALSE
"ACTR8","ACTR8",2.93558102230469e-14,8.45157062419681e-14,-138.232564296618,-174.536065245383,7,2,3570.50377740139,0,0,FALSE
"CACNA2D3","CACNA2D3",1.91147925095442e-23,7.66952471687548e-23,-115.400642912806,-173.547686266843,7,2,501.884819912847,0,0,FALSE
"ESRG","ESRG",1.51547799725127e-29,7.22016014652147e-29,-204.328521344144,-276.849500532477,7,2,29941.8833252212,0,0,FALSE
"CACNA2D3-AS1","CACNA2D3-AS1",0.000986684552489979,0.00165860813417746,-62.0113282697094,-72.2842860853982,7,2,11.6475715098976,0,0,FALSE
"LRTM1","LRTM1",0.000248734188361235,0.000435754285939308,-54.6439855325041,-66.4902222973653,7,2,6.54308578870071,0,0,FALSE
"WNT5A","WNT5A",7.72793732312841e-196,2.92288394122196e-194,-1055.9357023923,-1514.1069925218,7,2,1759.17286587638,0,0,FALSE
"ERC2","ERC2",2.8864917105033e-17,9.33128665143639e-17,-161.113137016696,-204.605524099037,7,2,1484.28114917826,0,0,FALSE
"EIF3I","EIF3I",4.7215086170832e-09,1.08301687438899e-08,-188.94809349195,-212.645183038258,7,2,25238.5354657424,0,0,FALSE
"ERC2-IT1","ERC2-IT1",7.8454670745423e-15,2.30978393896403e-14,-61.9209279300777,-99.5982128204331,7,2,14.6021123782396,0,0,FALSE
"CCDC66","CCDC66",4.47175208827039e-21,1.65620646466206e-20,-152.587554226116,-205.130226440659,7,2,2771.78522849759,0,0,FALSE
"FAM208A","FAM208A",0.000166413713666712,0.000295186827858412,-200.778509562414,-213.078585319642,7,2,12968.2178325244,0,0,FALSE
"ARHGEF3","ARHGEF3",5.6569147679612e-34,3.03686485447185e-33,-125.447657913567,-208.362750833958,7,2,722.971282830971,0,0,FALSE
"SPATA12","SPATA12",1.78591934556718e-32,9.21565436586521e-32,-183.169026800218,-262.567687639929,7,2,115.285479061439,0,0,FALSE
