"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Module_31269",33.6284752866151,-1.88245997123087,0.476573827889531,-3.94998604847269,7.81557486735867e-05,0.0360732417600807
"Module_173",46.8600992259562,1.86566744457217,0.4239550925532,4.400625154274,1.07939448841124e-05,0.0136751774934779
"Module_7800",36.317523148436,-1.85661900299339,0.471389289629628,-3.93861091848764,8.19547056093359e-05,0.0360732417600807
"Module_349",64.0046823348541,1.71978444258744,0.391337310103482,4.394634496089,1.10959288356346e-05,0.0136751774934779
"Module_7917",57.0554083887065,1.94659475504417,0.399914943466035,4.86752192397005,1.13006298593463e-06,0.00253226568548206
"Module_496",27.9371626265067,-2.22373943076102,0.546320606056088,-4.07039274394991,4.69339459460885e-05,0.0304440745690825
"Module_16721",28.0546482514846,2.14181195614669,0.541110979730297,3.95817500730483,7.55246140479067e-05,0.0360732417600807
"Module_33750",99.295721724709,-1.87303125945879,0.314642810233372,-5.95288116728159,2.63462600227926e-09,6.39756303512408e-05
"Module_9670",45.523475221983,-1.81005031740439,0.425309085144362,-4.25584681970761,2.08259259936998e-05,0.0190125277710632
"Module_22818",39.2327173281494,1.98818537597432,0.460856261861934,4.31411166670868,1.602459392113e-05,0.0164579256484139
"Module_15427",28.6402597993233,-2.11049989027408,0.527135986339415,-4.00371051297408,6.23566622617698e-05,0.0327027525125609
"Module_15428",20.6698540980969,-3.39145933920148,0.719720226159887,-4.71219123199694,2.45067237421805e-06,0.00402710822347338
"Module_24905",24.0380837395933,-2.6209954706151,0.592598366820775,-4.42288676000991,9.73907934189344e-06,0.0133365870387962
"Module_32076",50.6123125894403,1.56373413848592,0.401979742919699,3.89008194076661,0.000100210378349382,0.0421534485928129
"Module_13583",42.6016901481311,-2.24892655734823,0.448194568669028,-5.01774611867053,5.22812026061269e-07,0.00129555323194876
"Module_11971",28.8177964541216,-2.12762034644701,0.525473856204691,-4.04895566415815,5.14466887554475e-05,0.0309294983203177
"Module_11977",46.9141380131292,-1.74714170644527,0.42428098341529,-4.11788832104019,3.82359897917672e-05,0.0269279689250649
"Module_9996",30.149859896161,2.3719089799734,0.544925891366012,4.35271844769119,1.34459784671638e-05,0.0157823772970057
"Module_29612",113.03460981337,-1.21398553217113,0.291261504348348,-4.16802603175188,3.07248852374534e-05,0.0233035304398447
"Module_10696",35.4776221437212,-2.79204694896768,0.509732703771318,-5.477472660299,4.31443641014859e-08,0.000278769123270369
"Module_23363",35.6296409676357,-2.35096133294332,0.493670405240062,-4.76220836410094,1.91485814071467e-06,0.00337138130789113
"Module_25946",34.0385104897636,-1.84976492148226,0.473638750921465,-3.90543408427529,9.40563945728622e-05,0.0406736152601137
"Module_1585",46.9961282248492,-1.82967940915292,0.424001538255962,-4.31526596973895,1.59410855308564e-05,0.0164579256484139
"Module_26002",34.8498651648197,-1.83809842753593,0.466626473205286,-3.93912161671822,8.17804698682679e-05,0.0360732417600807
"Module_10888",78.5139423256809,1.5487358626605,0.359959404161162,4.30252924290065,1.6885937573258e-05,0.0166488590097294
"Module_20323",108.204166713235,-1.26075624038752,0.302736331453149,-4.16453563513779,3.1198689785179e-05,0.0233035304398447
"Module_6848",27.1938565903004,2.3916148210321,0.563437187127649,4.24468756353185,2.18898204300662e-05,0.0192700779921679
"Module_29775",33.2044318627242,-2.29508252434024,0.513333256526377,-4.47094065144074,7.78763091489726e-06,0.0112916067306649
"Module_6890",45.2547218636608,1.80797133295839,0.434020595936117,4.16563487974314,3.10487287268856e-05,0.0233035304398447
"Module_14062",25.406574042805,-2.2270220652494,0.557497771437282,-3.99467438140232,6.47832255713761e-05,0.0332675359814344
"Module_26097",27.3514844307956,-3.33265646664402,0.623225987193541,-5.34742859753227,8.92125876749626e-08,0.000439800214720031
"Module_26098",31.3861694626904,-1.93687079963887,0.498201232927264,-3.88772783290492,0.000101186994496536,0.0421534485928129
"Module_12592",25.661399598222,-2.62543134289354,0.579135688417693,-4.53336134415531,5.80523788963211e-06,0.00894333179634637
"Module_12593",33.9720252161055,-2.8074130882494,0.529625446471074,-5.30075189354168,1.15326726422767e-07,0.000473781413265796
