"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",1940.03951272213,0.429065267875021,0.0785594292724521,5.46166477848227,4.7169014045883e-08,3.41895274528027e-07
"LRAT",14678.8091419837,-1.43632671393554,0.0778285328951003,-18.4550146393157,4.75236343689104e-76,6.07658970706641e-74
"RBM46",103.252977715905,-0.969263472640044,0.239611309112417,-4.04514910515055,5.22898326370115e-05,0.000241118593395686
"PRDX1",81270.7949333165,-0.477082735799611,0.100870126382313,-4.72967322348141,2.24881507569898e-06,1.29172695620987e-05
"GUCY1B3",503.624500332775,-0.760895491198965,0.114920388240645,-6.62106613846133,3.56617355720473e-11,3.60583034717365e-10
"CTSO_variant1",202.71343847496,1.3239919837802,0.169530784519869,7.80974374376844,5.73043754616374e-15,8.21262357024634e-14
"PDGFC",452.958161605961,-0.592772151820871,0.115126742711957,-5.14886583132092,2.62066247345888e-07,1.72810270543689e-06
"TMEM144",1068.96054683505,-0.25153053164563,0.0797998910334486,-3.15201597882131,0.00162147399855878,0.00553031212345348
"RXFP1",181.640859197966,-2.60266850631453,0.215723027991311,-12.0648617375209,1.61934104540817e-33,6.19233997893621e-32
"C4orf46",6979.0157512872,0.53078331074787,0.0856460324084309,6.1974068829792,5.7400976595649e-10,5.1392923976046e-09
"ETFDH",1840.75569198416,-0.229097903690828,0.0811728280725553,-2.82234719586279,0.00476735344572386,0.0144402871181395
"PPID",8623.70851688114,-0.398650198911437,0.0802759450104556,-4.9659982060568,6.83485863506401e-07,4.24155155436859e-06
"FNIP2",2718.777978077,-0.415889343732148,0.101421680150496,-4.10059607684497,4.12087301444609e-05,0.000193547795111252
"NASP",78113.534245165,-0.779702051240502,0.228526763721962,-3.41186318198218,0.000645204884156122,0.00241349686211074
"RAPGEF2",10154.2637295711,0.361687331365759,0.0745380326293176,4.8523863403325,1.21984696202238e-06,7.29708648090871e-06
"FSTL5",90.5915916785409,-2.63664754048041,0.27735986648987,-9.50623308933812,1.97691775354039e-21,4.38818542942284e-20
"NAF1",1240.05725785864,1.05203513319,0.115374559137871,9.11843253011122,7.62186779315253e-20,1.53752550798599e-18
"NPY1R",999.393323462296,0.639268837385737,0.124643775466214,5.12876663912525,2.91646597750682e-07,1.90829530244649e-06
"NPY5R",164.880262641945,0.834388791368256,0.172850009393137,4.82724180517971,1.38436994829347e-06,8.22116164262331e-06
"MARCH1",727.890719270455,0.595987073202999,0.210292164959891,2.83409072000695,0.00459562836025872,0.013977041160103
"LOC100506013",15611.3728848231,-1.92173432721778,0.0769648580262724,-24.9689842416364,1.32849581733839e-137,4.86784661427724e-135
"TMEM192",2192.12961510393,-0.185588874428984,0.0746548268612178,-2.48595947819946,0.0129202676464814,0.0347837011427919
"KLHL2",1844.35969812662,-0.366028640376499,0.0745220985898347,-4.9116791837962,9.02997139210495e-07,5.49134995482231e-06
"MSMO1",10101.1650840124,-0.288423082511563,0.114954439516395,-2.50902082359706,0.012106634724292,0.0328199958570415
"CPE",3786.09227530109,-0.382477264570047,0.0853561311058913,-4.48095830509881,7.43086287260796e-06,3.96409568714744e-05
"TMEM69",4093.88616416336,0.287882014639632,0.113825266483743,2.52915739653242,0.0114336739931285,0.0312440668445351
"TLL1",62.0420212380062,-1.76632747741886,0.281710313746116,-6.27001352535044,3.61016745004129e-10,3.30460890747627e-09
"SPOCK3",45.0436865538712,-1.51727551226967,0.366849437569014,-4.13596248729216,3.53469935523141e-05,0.000168433364074012
"DDX60",2373.64217407746,0.49437735712711,0.0864312420309873,5.7198918528773,1.06591876513981e-08,8.35247548170516e-08
"DDX60L",577.822963966352,0.776865336264901,0.110537111175256,7.0280951619333,2.09372090198014e-12,2.39966611314717e-11
