"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRAT",6737.00500290265,-0.613466606385145,0.0792390388964883,-7.74197434659107,9.78847428134744e-15,1.25686624054281e-13
"NPY2R",64.4901448830134,2.33809978403021,0.305378314872706,7.65640410650909,1.91211409916278e-14,2.40457004421879e-13
"PRDX1",62638.5414674189,-0.334569870109611,0.101619603571317,-3.29237527358399,0.000993449523825031,0.00367019921614095
"GUCY1A3",9.89113257800273,3.69266768470026,0.923158425319473,4.00003681212394,6.33326312419223e-05,0.000297041336706806
"CTSO_variant1",264.010402139981,-0.370129551046396,0.152746528268468,-2.42316179125102,0.0153860725255037,0.0417464524785753
"PDGFC",317.891614359008,-0.494765612893891,0.135183719934881,-3.6599496827889,0.00025226477949784,0.00105869053003962
"GLRB",161.05485210239,0.898221199533946,0.180819140260651,4.9675117260217,6.78174587766655e-07,4.25989062667497e-06
"TMEM144",779.048621693027,-0.85812936566073,0.0916836718632069,-9.35967493689683,7.99823812008326e-21,1.43956769619929e-19
"RXFP1",27.8730419793786,-4.27729369738519,0.606900005381915,-7.04777337198003,1.81803415598498e-12,1.99696194638069e-11
"ETFDH",1536.52473659239,-0.390124100532816,0.0863964432347596,-4.51551112437298,6.31642305605507e-06,3.47208831137592e-05
"PPID",8248.38488315626,0.209475371088226,0.0799085414468548,2.62143905138781,0.00875594170575765,0.0255379699088028
"FNIP2",2192.32957107763,-0.269546161861816,0.108012743466522,-2.49550333794975,0.0125778571869346,0.0350769500892155
"NASP",82381.3075976263,0.834432375364385,0.309549835323615,2.69563178572535,0.00702552806467063,0.0210068414802973
"FSTL5",17.8356433905483,-1.46056630130163,0.535310865352908,-2.72844508832963,0.00636336836609085,0.0192572580985681
"CCDC17",220.633173269937,-0.83950399379109,0.198349133673663,-4.23245606493194,2.31153078348745e-05,0.000116064008008006
"NAF1",1310.764928963,-0.935978183244445,0.120554270284218,-7.7639571044459,8.23197500487685e-15,1.06246450759897e-13
"NPY5R",248.986854572137,0.371135848242067,0.152683432420198,2.4307538962097,0.0150674451337261,0.0410020821098456
"LOC100506013",3771.94251943096,-3.00035090482431,0.0886831152486967,-33.8322678044218,6.61677325456931e-251,4.47079273957386e-248
"TMEM192",2355.41549940981,0.30138143420412,0.0802244922245022,3.75672598039919,0.000172150818735171,0.000744339409958368
"KLHL2",1876.57154053101,0.337819889059909,0.0730834854096743,4.62238339025892,3.79356065950801e-06,2.15837543212791e-05
"MSMO1",8183.74356872356,-0.414418870929026,0.113779220931966,-3.64230715885131,0.000270205384602023,0.00112811199316142
"CPE",4103.87332944118,0.514342195489607,0.0838893978376141,6.13119427183429,8.72218174119335e-10,7.56345971314026e-09
"TLL1",21.0974157349891,-1.16251718033382,0.483677409115208,-2.40349695566806,0.0162391022265791,0.0437900502280745
"DDX60L",633.820403373277,-0.537054062057555,0.108449116128777,-4.95212945230308,7.34057436443353e-07,4.58900622932829e-06
"SH3RF1",3848.59530690062,0.913421809679168,0.0743150590811143,12.2912074749503,1.00986219755427e-34,3.1756672879065e-33
"NEK1",4030.30661966165,0.435878557438976,0.145173797973805,3.0024602478033,0.00267806947240481,0.00895915118561759
"CLCN3",12483.9493878591,0.293687319778441,0.0957496013320208,3.06724326464872,0.0021604295796484,0.00738657180914045
"C4orf27",5415.34874843841,0.576313141878927,0.0771757093230944,7.46754577228705,8.17043103078401e-14,9.88199205464926e-13
"LOC100506085",153.08294134012,-1.17699415947999,0.197039817534381,-5.97338230520141,2.32384454738026e-09,1.92882183547498e-08
"MFAP3L",1425.56501493832,0.858756929396923,0.102263622534145,8.397481999136,4.56154445969294e-17,6.80421309620069e-16
"AADAT",854.045812308204,0.386720632042343,0.0964520194379241,4.00946122534255,6.0857444856869e-05,0.000285930487017802
"LOC101928223",53.5497759921072,-2.51080411861707,0.329482233371391,-7.62045374321262,2.52785542002393e-14,3.15824015495244e-13
"LOC101928288",34.5713589671627,-2.07724278705886,0.379086133845078,-5.47960635222753,4.26273158466684e-08,3.10694721914493e-07
"GALNT7",13756.4572187337,-0.628588411289594,0.112521667144709,-5.58637662630076,2.31856124920633e-08,1.72923720853694e-07
"HMGB2",61490.4965575345,0.553788168116926,0.0687587325042889,8.0540776123583,8.00803952159698e-16,1.10547204881239e-14
"SAP30",2268.24298223246,0.305267322438347,0.101083855019196,3.01994143753594,0.00252823565187158,0.00851143163167108
"PIK3R3",9024.4654437993,0.675609847333679,0.117453532047356,5.75214585340253,8.81177233963987e-09,6.90577769564253e-08
"HPGD",21.916739495102,-2.92644068186652,0.525027963925492,-5.5738758369865,2.49133328673828e-08,1.85256788127475e-07
"GPM6A",390.697127546619,-1.28221101938028,0.159939972976473,-8.01682653509569,1.08512196320315e-15,1.48078870524447e-14
"ASB5",5.40193516124489,-4.08771793881376,1.28145864413272,-3.18989454519643,0.00142324717645192,0.00506158689803208
"NEIL3",1365.40439956572,0.785694074838791,0.0964268076711069,8.14808758907213,3.69724530354406e-16,5.22504989195033e-15
"LOC101928703",37.0311655130651,-0.827123599729136,0.35233327500093,-2.3475602743651,0.0188968154451401,0.0499018048091794
"MGC45800",1948.25855744871,-0.629800030290795,0.0821405204294076,-7.66734891620332,1.75587657332802e-14,2.21477872518671e-13
"DCTD",6616.13112880609,0.325067709148086,0.0671074263926981,4.84399010097423,1.27257275194495e-06,7.74447877279056e-06
"WWC2-AS2",343.544672510918,0.459172096122342,0.120689003660372,3.80458933453861,0.000142039643811728,0.000623746898874617
"CDKN2AIP",4007.28655096109,0.192819715716737,0.0654451867005577,2.9462780295666,0.00321623165377222,0.0105367306177835
"ING2",2153.22315302002,0.429176209297795,0.113586095197953,3.77842207314062,0.000157825222840481,0.000687871438460952
"LOC101929169",31.0703322438884,-2.67741371664223,0.439450358689073,-6.09264200996272,1.11062243955878e-09,9.49574589226039e-09
"STOX2",3021.90009444354,1.90216994727572,0.0876175034799459,21.7099309125041,1.65305955467605e-104,2.11930712137956e-102
"C1orf86",3309.50622192168,0.551028905049086,0.171351228649981,3.21578613349,0.00130087738644853,0.00467134941988125
"LRRC41",8307.80057758558,-0.292323462057064,0.096439676943261,-3.03115347668624,0.00243621380151052,0.00823267707998958
"IRF2",1925.24935445581,-0.568588784531668,0.0861575486185371,-6.59940763924352,4.12803826981116e-11,4.03601708037853e-10
"CASP3",7579.36104705614,-0.396232436268348,0.088598103357268,-4.47224513001772,7.74026265106897e-06,4.18664141663185e-05
"ACSL1",209.220790216727,-2.05523731528016,0.202220335118256,-10.1633562919292,2.88954572034224e-24,6.12191889903017e-23
"SLC25A4",5431.26763562313,-0.746500323031897,0.0627440107978628,-11.897555058073,1.21865354599663e-32,3.55499867560276e-31
"SNX25",4556.70526252482,-0.26870451047974,0.0797551844287114,-3.3691165333574,0.000754095392520728,0.00286423348724069
"C4orf47",574.862588303455,-0.614712895192491,0.135889467263824,-4.52362429237469,6.07895935593733e-06,3.35187436917586e-05
"CCDC110",511.877829356688,-1.18911778084231,0.142025796572674,-8.37254787184978,5.63856057659179e-17,8.34600440584931e-16
"PDLIM3",3494.6468728168,-2.55666013465906,0.0922529182154077,-27.7135963188649,4.78821632638234e-169,1.57507115999419e-166
"SORBS2",3589.29558935133,-2.42284378862034,0.0756325457951949,-32.034407451802,3.61988231547152e-225,1.96732734536495e-222
"TLR3",260.281289350112,-0.660131465923918,0.165444893955691,-3.99003831511845,6.60626226338852e-05,0.000308473209907944
