,timepoints
0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq
0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq
0hrs.RNASeq_REPLICANT.3,0hrs.RNASeq
24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.3,24hrs.RNASeq
