,timepoints
6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq
6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq
6hrs.RNASeq_REPLICANT.3,6hrs.RNASeq
48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq
48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq
48hrs.RNASeq_REPLICANT.3,48hrs.RNASeq
