,timepoints
0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq
0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq
0hrs.RNASeq_REPLICANT.3,0hrs.RNASeq
48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq
48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq
48hrs.RNASeq_REPLICANT.3,48hrs.RNASeq
