,timepoints
6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq
6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq
6hrs.RNASeq_REPLICANT.3,6hrs.RNASeq
24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.3,24hrs.RNASeq
