,timepoints
24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq
24hrs.RNASeq_REPLICANT.3,24hrs.RNASeq
48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq
48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq
48hrs.RNASeq_REPLICANT.3,48hrs.RNASeq
