,timepoints
0hrs.H3K27ac_REPLICANT.1,0hrs.H3K27ac
0hrs.H3K27ac_REPLICANT.2,0hrs.H3K27ac
48hrs.H3K27ac_REPLICANT.1,48hrs.H3K27ac
48hrs.H3K27ac_REPLICANT.2,48hrs.H3K27ac
