,timepoints
6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac
6hrs.H3K27ac_REPLICANT.2,6hrs.H3K27ac
12hrs.H3K27ac_REPLICANT.1,12hrs.H3K27ac
12hrs.H3K27ac_REPLICANT.2,12hrs.H3K27ac
