,timepoints
6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq
6hrs.ATACSeq_REPLICANT.2,6hrs.ATACSeq
48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq
48hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq
