,timepoints
3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq
3hrs.ATACSeq_REPLICANT.2,3hrs.ATACSeq
12hrs.ATACSeq_REPLICANT.1,12hrs.ATACSeq
12hrs.ATACSeq_REPLICANT.2,12hrs.ATACSeq
