,timepoints
24hrs.ATACSeq_REPLICANT.1,24hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.2,24hrs.ATACSeq
72hrs.ATACSeq_REPLICANT.1,72hrs.ATACSeq
72hrs.ATACSeq_REPLICANT.2,72hrs.ATACSeq
