,timepoints
0hrs.ATACSeq_REPLICANT.1,0hrs.ATACSeq
0hrs.ATACSeq_REPLICANT.2,0hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.1,24hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.2,24hrs.ATACSeq
