,timepoints
12hrs.ATACSeq_REPLICANT.1,12hrs.ATACSeq
12hrs.ATACSeq_REPLICANT.2,12hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.1,24hrs.ATACSeq
24hrs.ATACSeq_REPLICANT.2,24hrs.ATACSeq
