,timepoints
0hrs.ATACSeq_REPLICANT.1,0hrs.ATACSeq
0hrs.ATACSeq_REPLICANT.2,0hrs.ATACSeq
72hrs.ATACSeq_REPLICANT.1,72hrs.ATACSeq
72hrs.ATACSeq_REPLICANT.2,72hrs.ATACSeq
