Module,3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_5486,93,102,101,121
Module_7590,9,8,16,8
Module_29151,8,2,10,10
Module_12875,6,2,22,1
Module_5487,6,6,22,12
Module_16504,9,10,16,12
Module_17295,43,40,38,35
Module_17296,47,58,41,54
Module_16505,9,4,19,8
Module_12876,8,0,7,4
Module_29152,9,6,6,6
Module_19428,35,36,48,41
Module_37083,86,60,86,91
Module_17297,0,4,8,4
Module_12877,29,32,22,20
Module_16506,5,4,4,2
Module_35471,8,23,20,26
Module_35472,0,1,4,3
Module_29153,18,4,31,30
Module_35473,18,20,12,16
Module_17298,161,123,132,137
Module_29154,2,6,10,0
Module_17299,87,68,70,83
Module_29155,29,12,37,18
Module_29156,8,8,7,14
Module_29157,0,6,7,14
Module_35474,55,43,16,28
Module_29158,10,10,8,12
Module_35475,114,93,46,42
Module_17300,50,40,40,26
Module_29159,12,6,8,8
Module_17301,16,15,30,39
Module_29160,4,4,11,10
Module_29161,14,13,22,24
Module_29162,13,10,21,11
Module_17302,76,88,75,80
Module_17303,17,22,26,20
Module_22240,6,4,4,2
Module_5488,88,85,63,76
Module_17304,43,31,36,17
Module_35476,12,4,3,8
Module_33291,20,14,17,14
Module_17305,7,0,7,7
Module_17306,42,31,32,31
Module_12878,11,20,72,109
Module_22241,18,6,12,9
Module_35477,26,17,14,32
Module_5489,2,6,13,13
Module_31179,22,24,63,57
Module_22242,27,16,18,12
Module_33292,9,4,6,16
Module_33293,66,79,64,71
Module_5490,65,33,29,36
Module_22243,30,23,25,10
Module_5491,61,62,48,49
Module_22244,35,31,34,25
Module_5492,46,59,44,42
Module_22245,36,32,33,27
Module_5493,43,57,42,39
Module_22246,38,34,36,32
Module_5494,26,61,38,41
Module_33294,55,48,17,16
Module_5495,29,60,39,41
Module_33295,53,44,16,15
Module_5496,29,62,40,43
Module_33296,43,26,25,31
Module_17307,4,7,21,9
Module_33297,29,19,15,30
Module_22247,38,14,16,16
Module_27434,41,34,54,30
Module_27435,44,20,11,18
Module_27436,32,25,13,18
Module_17308,49,45,32,32
Module_12879,20,18,18,13
Module_17309,41,35,25,30
Module_5497,40,24,22,19
Module_27437,26,27,26,25
Module_12880,22,20,16,11
Module_5498,42,25,22,19
Module_12881,23,25,15,13
Module_33298,2,6,12,10
Module_17310,40,24,27,20
Module_16507,4,4,17,20
Module_16508,10,18,16,18
Module_22248,6,7,10,7
Module_17311,4,10,9,17
Module_33299,13,6,13,14
Module_33300,16,12,14,18
Module_29163,11,6,12,7
Module_17312,13,16,5,6
Module_7591,3,6,11,28
Module_22249,0,8,8,4
Module_12882,8,8,20,19
Module_17313,35,36,36,57
Module_22250,5,2,2,0
Module_14408,0,2,16,5
Module_7592,2,4,8,4
Module_17314,37,43,51,35
Module_7593,0,2,8,18
Module_22251,12,15,2,16
Module_29164,6,5,12,5
Module_22252,13,18,3,16
Module_27438,27,14,26,45
Module_22253,13,4,6,8
Module_12883,29,21,12,15
Module_5499,2,6,3,6
Module_33301,22,16,35,25
Module_5500,40,65,58,50
Module_7594,35,23,80,82
Module_22254,12,8,16,2
Module_22255,30,36,23,32
Module_5501,15,11,21,17
Module_22256,27,36,22,30
Module_12884,15,17,19,18
Module_19429,6,6,36,39
Module_17315,12,8,14,18
Module_12885,60,66,82,71
Module_14409,14,17,30,34
Module_17316,40,36,32,27
Module_12886,11,26,23,40
Module_16509,22,26,12,23
Module_35478,52,50,41,38
Module_5502,52,61,102,138
Module_12887,65,68,72,62
Module_5503,44,38,65,103
Module_22257,11,27,11,16
Module_5504,43,20,29,45
Module_22258,20,24,14,16
Module_17317,6,12,9,6
Module_27439,10,11,26,14
Module_22259,32,29,32,24
Module_22260,6,6,15,12
Module_27440,13,10,11,16
Module_22261,11,8,14,22
Module_7595,11,6,19,12
Module_7596,7,4,14,27
Module_22262,6,6,11,14
Module_27441,77,65,70,58
Module_14410,16,4,21,12
Module_27442,9,8,22,15
Module_31180,39,38,28,33
Module_27443,17,8,17,8
Module_31181,31,32,22,25
Module_19430,28,20,22,10
Module_17318,25,20,10,10
Module_17319,18,26,36,29
Module_16510,18,12,4,4
Module_29165,37,33,31,30
Module_22263,21,14,18,18
Module_3777,47,55,28,28
Module_17320,18,11,15,12
Module_3778,45,45,19,21
Module_17321,23,14,18,13
Module_3779,60,54,40,36
Module_29166,41,35,61,67
Module_3780,13,7,9,6
Module_12888,13,17,19,8
Module_35479,22,22,28,17
