Module,24hrs.ATACSeq_REPLICANT.1,24hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_19414,2,2,8,12
Module_19415,19,27,51,53
Module_14386,13,4,13,8
Module_14387,6,8,13,19
Module_14388,0,1,10,4
Module_14389,34,25,48,44
Module_14390,17,12,14,13
Module_19416,11,8,2,0
Module_19417,13,18,12,29
Module_14391,12,5,12,7
Module_14392,10,4,26,33
Module_14393,4,8,18,28
Module_19418,22,13,14,12
Module_14394,42,26,89,106
Module_37075,15,4,5,16
Module_19419,22,20,17,16
Module_29123,15,15,33,26
Module_29124,71,62,99,87
Module_29125,0,8,2,4
Module_33277,30,28,21,32
Module_29126,8,2,6,10
Module_29127,2,0,13,9
Module_27429,1,2,2,4
Module_29128,6,3,1,8
Module_37076,16,10,14,18
Module_37077,4,2,4,8
Module_12851,14,6,29,25
Module_33278,16,10,33,22
Module_3775,10,6,25,39
Module_33279,19,14,32,32
Module_12852,34,20,48,39
Module_33280,15,7,20,20
Module_12853,25,22,50,38
Module_27430,8,12,6,2
Module_29129,7,2,6,7
Module_29130,12,4,10,14
Module_33281,24,10,8,4
Module_12854,8,8,10,10
Module_33282,20,12,31,33
Module_29131,7,2,4,4
Module_12855,14,18,44,52
Module_19420,20,19,25,22
Module_29132,8,8,12,21
Module_33283,20,6,31,29
Module_29133,20,2,7,6
Module_29134,0,4,4,1
Module_29135,5,7,6,8
Module_14395,36,28,48,38
Module_33284,6,8,21,11
Module_14396,2,3,2,6
Module_3776,83,71,112,114
Module_14397,8,8,19,16
Module_14398,2,12,14,12
Module_29136,9,7,7,8
Module_33285,8,3,13,19
Module_7573,3,4,10,8
Module_29137,30,18,69,43
Module_33286,33,33,38,39
Module_33287,46,19,62,55
Module_33288,40,24,43,55
Module_16497,2,4,10,14
Module_14399,6,0,19,22
Module_29138,2,8,14,16
Module_12856,22,20,24,33
Module_27431,8,4,10,19
Module_33289,14,6,14,12
Module_7574,18,13,28,25
Module_5454,33,18,44,63
Module_7575,9,10,25,34
Module_7576,20,16,45,42
Module_7577,10,4,23,16
Module_37078,103,57,79,83
Module_12857,26,20,40,40
Module_35464,26,8,10,8
Module_7578,2,4,17,13
Module_31171,10,8,6,10
Module_33290,24,10,32,32
Module_37079,2,4,2,3
Module_31172,7,0,13,8
Module_35465,12,4,19,12
Module_14400,0,2,13,13
Module_12858,48,37,96,91
Module_14401,11,14,14,22
Module_14402,12,10,16,13
Module_25040,9,4,0,2
Module_14403,47,30,108,107
Module_31173,12,7,12,16
Module_14404,31,27,79,97
Module_31174,10,10,13,21
Module_14405,21,15,49,64
Module_31175,0,3,12,14
Module_25041,34,12,12,26
Module_31176,7,6,6,2
Module_22221,28,22,45,45
Module_7579,20,22,28,37
Module_7580,10,18,20,17
Module_5455,8,8,11,10
Module_7581,14,8,29,14
Module_7582,12,5,29,10
Module_25042,5,6,6,4
Module_22222,32,25,56,48
Module_7583,22,22,34,43
Module_17284,27,11,55,34
Module_5456,6,9,12,23
Module_5457,18,10,24,16
Module_25043,6,6,4,14
Module_14406,8,5,38,30
Module_14407,6,6,25,33
Module_17285,16,4,26,28
Module_7584,9,8,18,15
Module_22223,14,4,15,24
Module_7585,5,11,36,23
Module_17286,14,4,27,31
Module_22224,19,2,6,18
Module_22225,43,14,41,27
Module_5458,2,6,10,12
Module_22226,4,3,23,32
Module_5459,9,6,14,12
Module_19421,14,10,22,26
Module_12859,28,24,66,71
Module_5460,10,2,22,22
Module_7586,23,17,6,8
Module_19422,22,22,30,45
Module_17287,30,21,26,23
Module_19423,12,14,13,20
Module_17288,28,23,25,23
Module_19424,10,9,12,19
Module_17289,67,53,59,62
Module_22227,53,28,88,85
Module_5461,19,10,19,22
Module_17290,33,14,82,48
Module_5462,6,7,7,2
Module_5463,4,2,9,11
Module_7587,42,37,48,69
Module_5464,3,8,11,20
Module_27432,25,20,38,60
Module_5465,16,12,26,35
Module_5466,3,2,9,10
Module_16498,36,20,59,45
Module_22228,64,59,142,100
Module_16499,36,19,57,44
Module_22229,64,56,136,99
Module_16500,36,18,56,43
Module_22230,63,56,138,97
Module_16501,37,18,57,43
Module_5467,22,29,24,25
Module_29139,2,2,2,2
Module_5468,20,22,19,30
Module_5469,11,4,10,6
Module_22231,112,73,160,206
Module_19425,68,28,50,48
Module_22232,14,8,16,22
Module_16502,6,8,24,26
Module_5470,5,8,9,6
Module_5471,17,4,27,21
Module_29140,10,21,40,36
Module_19426,10,4,23,11
Module_29141,12,23,37,36
Module_19427,13,10,34,19
Module_12860,11,6,19,17
Module_29142,89,71,87,90
Module_5472,4,4,16,19
Module_37080,14,19,13,18
Module_5473,4,4,16,19
Module_37081,16,22,14,18
Module_22233,69,70,87,150
Module_12861,8,7,23,20
Module_7588,52,26,54,57
Module_5474,7,2,6,12
Module_27433,59,39,53,57
Module_37082,26,21,18,43
Module_5475,26,27,35,38
Module_35466,2,2,13,8
Module_22234,24,12,22,18
Module_7589,15,27,24,15
Module_29143,14,14,27,36
Module_17291,8,7,10,14
Module_5476,16,4,10,12
Module_22235,4,5,2,6
Module_5477,41,22,46,53
Module_22236,16,14,23,23
Module_5478,6,22,19,19
Module_5479,24,10,22,24
Module_29144,50,43,40,46
Module_16503,26,23,28,42
Module_22237,13,6,15,18
Module_5480,2,2,12,10
Module_31177,35,22,21,47
Module_5481,15,12,20,20
Module_29145,11,14,15,6
Module_29146,68,59,53,56
Module_22238,6,0,14,14
Module_5482,66,32,58,68
Module_31178,17,11,18,20
Module_12862,4,4,14,6
Module_5483,22,13,10,14
Module_12863,1,0,6,14
Module_12864,26,16,49,47
Module_17292,25,23,33,56
Module_12865,24,12,42,48
Module_17293,25,28,35,57
Module_12866,3,10,11,13
Module_12867,8,4,16,12
Module_22239,18,26,42,37
Module_29147,16,4,27,24
Module_5484,20,26,37,59
Module_17294,16,21,80,56
Module_35467,6,2,4,10
Module_12868,6,2,2,15
Module_12869,37,22,27,51
Module_35468,11,14,24,9
Module_12870,37,24,26,50
Module_35469,11,14,24,10
Module_12871,37,24,24,49
Module_29148,8,8,6,7
Module_5485,12,10,10,11
Module_29149,22,16,28,14
Module_12872,48,31,22,25
Module_29150,4,10,9,12
Module_35470,23,12,13,9
Module_12873,16,12,22,30
Module_12874,19,8,24,47
Module_5486,46,45,101,121
Module_7590,28,2,16,8
Module_29151,4,2,10,10
Module_12875,6,2,22,1
Module_5487,21,20,22,12
Module_16504,11,4,16,12
Module_17295,21,25,38,35
Module_17296,24,20,41,54
Module_16505,6,4,19,8
Module_12876,8,8,7,4
Module_29152,10,2,6,6
Module_19428,48,34,48,41
Module_37083,52,45,86,91
Module_17297,6,4,8,4
Module_12877,18,11,22,20
Module_16506,4,3,4,2
Module_35471,4,6,20,26
Module_35472,4,2,4,3
Module_29153,22,4,31,30
Module_35473,24,6,12,16
Module_17298,62,43,132,137
Module_29154,6,8,10,0
Module_17299,38,22,70,83
Module_29155,28,16,37,18
Module_29156,1,3,7,14
Module_29157,11,6,7,14
Module_35474,23,21,16,28
Module_29158,9,0,8,12
Module_35475,42,35,46,42
Module_17300,36,16,40,26
Module_29159,8,2,8,8
Module_17301,28,14,30,39
Module_29160,12,6,11,10
Module_29161,18,10,22,24
Module_29162,25,14,21,11
Module_17302,24,8,75,80
Module_17303,12,0,26,20
Module_22240,0,0,4,2
Module_5488,29,38,63,76
Module_17304,10,4,36,17
Module_35476,9,12,3,8
Module_33291,7,10,17,14
Module_17305,6,5,7,7
Module_17306,19,16,32,31
Module_12878,37,21,72,109
Module_22241,8,7,12,9
Module_35477,37,25,14,32
Module_5489,2,4,13,13
Module_31179,97,60,63,57
Module_22242,16,0,18,12
Module_33292,4,1,6,16
Module_33293,61,36,64,71
Module_5490,34,15,29,36
Module_22243,22,8,25,10
Module_5491,39,19,48,49
Module_22244,28,13,34,25
Module_5492,32,20,44,42
Module_22245,28,14,33,27
Module_5493,30,20,42,39
Module_22246,28,16,36,32
Module_5494,23,14,38,41
Module_33294,24,16,17,16
Module_5495,25,14,39,41
Module_33295,21,16,16,15
Module_5496,25,14,40,43
Module_33296,13,10,25,31
Module_17307,5,6,21,9
Module_33297,30,16,15,30
Module_22247,4,12,16,16
Module_27434,26,24,54,30
Module_27435,18,5,11,18
Module_27436,25,14,13,18
Module_17308,16,13,32,32
Module_12879,7,6,18,13
Module_17309,16,18,25,30
Module_5497,39,34,22,19
Module_27437,29,12,26,25
Module_12880,7,6,16,11
Module_5498,41,34,22,19
Module_12881,8,6,15,13
Module_33298,0,2,12,10
Module_17310,14,6,27,20
Module_16507,10,5,17,20
Module_16508,14,17,16,18
Module_22248,8,12,10,7
Module_17311,10,0,9,17
Module_33299,13,10,13,14
Module_33300,10,18,14,18
Module_29163,17,17,12,7
Module_17312,6,6,5,6
Module_7591,3,2,11,28
Module_22249,6,6,8,4
Module_12882,2,6,20,19
Module_17313,17,23,36,57
Module_22250,2,0,2,0
Module_14408,2,2,16,5
Module_7592,0,0,8,4
Module_17314,20,24,51,35
Module_7593,8,4,8,18
Module_22251,2,8,2,16
Module_29164,4,2,12,5
Module_22252,0,8,3,16
Module_27438,24,22,26,45
Module_22253,2,2,6,8
Module_12883,16,15,12,15
Module_5499,6,6,3,6
Module_33301,55,46,35,25
Module_5500,55,11,58,50
Module_7594,38,30,80,82
Module_22254,10,7,16,2
Module_22255,26,16,23,32
Module_5501,6,7,21,17
Module_22256,27,16,22,30
