"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",1844.81836009832,0.433040136492807,0.0730927421770495,5.924529899889,3.13192024726825e-09,1.27783485486543e-08
"LOC100996442",181.948210708928,-1.12987923879658,0.184827468930605,-6.1131564768698,9.76795066301451e-10,4.1587181278978e-09
"FGG",8.98128259398544,-6.5975975187054,1.33646167206123,-4.93661558474021,7.94899344479304e-07,2.63588896833866e-06
"LOC101927965",36.3168967892555,-1.17208947992053,0.344021642729273,-3.40702250771735,0.000656757109224314,0.00153755539287481
"LRAT",17996.8034928813,-1.91594538168025,0.0709842897895132,-26.991118561044,1.87893871157071e-160,1.70856467434585e-158
"RBM46",103.23747071758,-1.07253697971548,0.20421539856492,-5.25198876897875,1.50465639331114e-07,5.34927109792136e-07
"NPY2R",49.9271341502711,-2.02660852986792,0.319614507130674,-6.34079018521941,2.28589675190869e-10,1.02221626473458e-09
"PRDX1",71702.1667106018,-0.281044301318073,0.11232731561564,-2.50201208653242,0.0123489708951262,0.0234304878481049
"GUCY1A3",4.54608335745404,-2.5720220088688,1.0757725796112,-2.39086035247187,0.0168089449362352,0.0309925717155573
"TDO2_variant1",3.63772583639628,-4.25015614075094,1.50838453041255,-2.8176874364977,0.0048370872497251,0.00990528305033481
"CTSO_variant1",227.234183889467,0.626651899212899,0.158888074909462,3.94398320685789,8.01392724520175e-05,0.000212305970208514
"PDGFC",309.581630525412,0.323036160742474,0.124113644497227,2.60274494436986,0.00924807261288281,0.017970049267135
"GLRB",72.4882315400468,1.36110266180241,0.270557360905443,5.03073602302806,4.88600488492524e-07,1.65278003622782e-06
"FAM198B",13.3825552315714,-3.65447660768998,0.76109287990497,-4.80161712739486,1.57389405468383e-06,5.05946881355187e-06
"AKR1A1",15849.6080371618,0.384769185280399,0.0656928767205971,5.8570914304284,4.71043829194725e-09,1.89572603268619e-08
"RXFP1",98.9556889789628,-1.60620885842302,0.219683443682144,-7.31146977442237,2.6423596819411e-13,1.43390631449852e-12
"C4orf46",6343.30745003854,0.701954456601344,0.0897412555296612,7.82198167897633,5.19981783731068e-15,3.14937661811553e-14
"ETFDH",1315.8066019603,0.666125583146104,0.0925261716273689,7.19932070494384,6.05132697081555e-13,3.21701593415902e-12
"PPID",7997.33138624647,-0.330147421758749,0.0887360765374317,-3.72055464520659,0.000198785722073783,0.000500328828814096
"RAPGEF2",10062.1260427537,0.233730088825703,0.0629177093631854,3.71485375407617,0.000203321250197354,0.000510836812313263
"FSTL5",42.761542290766,-1.35661575190726,0.340262158721403,-3.98697215407377,6.69218764414966e-05,0.000178963658847424
"CCDC17",201.448197242864,0.892883391254699,0.224948759581162,3.96927457131652,7.20917731496519e-05,0.000191987945591771
"LOC101928081",72.1391032625967,-1.43952531359472,0.267908901723726,-5.37318955933457,7.73559312001801e-08,2.81976197749736e-07
"NAF1",1214.60571183457,0.927877235262601,0.117699817583732,7.88342118374574,3.18537112860132e-15,1.95658259464703e-14
"NPY5R",244.674422034917,-0.52071246160332,0.150938436218879,-3.44983341982041,0.000560932567217908,0.00132741876026351
"MARCH1",956.488495724448,-0.369792420364936,0.143858931946286,-2.57052110259659,0.0101545639902803,0.0195830224519871
"GPBP1L1",17220.4538947817,0.626109643881876,0.0709479777485991,8.82491176986702,1.09546140863305e-18,8.12718833372856e-18
"LOC100505989",72.5712942346563,-0.938704642521144,0.261739770789767,-3.5864043117663,0.000335269009725573,0.000818958223593205
"LOC100506013",5571.11316317879,0.332486352657465,0.0918407751266678,3.62024767538053,0.00029432114902128,0.000724656791717596
"RPL26P16",2.73770583688396,3.86322117925563,1.61043515573565,2.39886788704069,0.016445847062978,0.0303938766511341
"FAM218A",399.358188957415,-0.477973861266745,0.146049972454188,-3.27267340921048,0.00106535498786915,0.00242311093911494
"KLHL2",1768.88042466918,-0.385130530637108,0.0757878824970425,-5.08169007957356,3.74091413620963e-07,1.27958374495131e-06
"GK3P",37.5029470424091,-2.14737842490762,0.377050557235533,-5.69520024224818,1.23227208554144e-08,4.78474256411331e-08
"MSMO1",12012.7460517723,-0.825855063507471,0.122982196034243,-6.71524082459483,1.87755868014744e-11,9.05156929279092e-11
"CPE",2530.97191199332,0.697795803403697,0.0970339301812621,7.19125569891063,6.41981224857476e-13,3.40618305702027e-12
"HADHAP1",34.4288278132456,-3.46073765761507,0.512981538633375,-6.74632008558194,1.51641893349502e-11,7.37282008922545e-11
"TMEM69",3328.24599892387,0.856485386827138,0.119749719484451,7.15229555872446,8.53385749519243e-13,4.50122101392513e-12
"LOC101928151",82.0968574980719,-0.731724225501045,0.241077332732447,-3.03522615422799,0.00240355383633939,0.00518548052732535
"TLL1",73.6894301995601,-2.16891545391882,0.272680265546387,-7.95406095697035,1.80495248234815e-15,1.12536717662457e-14
"SPOCK3",35.5331018422894,-1.13789821073874,0.408763640831164,-2.78375593393038,0.00537334509252107,0.0109310676827373
"ANXA10",1.94527023512725,-4.39204891259034,1.95518521317462,-2.24635951775587,0.0246809891243922,0.0439942717398768
"DDX60",2020.61295114961,0.921115710115423,0.100465421230306,9.16848502534885,4.7971314934087e-20,3.81897637611915e-19
"DDX60L",421.267271950473,2.23751502243971,0.14054039994539,15.9207958943417,4.54557750307659e-57,1.12763837855124e-55
"IPP",950.93723738728,1.20787202274747,0.138124460196924,8.74480900070422,2.23393213130612e-18,1.6294991123641e-17
"LOC101928172",74.9987237793014,-1.30496463404424,0.272274075891752,-4.79283468237004,1.64441125139332e-06,5.27230175610515e-06
"CBR4",5002.63393633221,0.246246540139331,0.0654014870406953,3.76515200619378,0.000166447792341183,0.0004228113230139
"SH3RF1",2934.96684535979,-0.46084278516998,0.0760969593573996,-6.05599473437,1.39552566918737e-09,5.85898750769729e-09
