Module,48hrs.H3K27ac_REPLICANT.1,48hrs.H3K27ac_REPLICANT.2,72hrs.H3K27ac_REPLICANT.1,72hrs.H3K27ac_REPLICANT.2
Module_19414,14,4,6,11
Module_19415,17,11,13,21
Module_14386,6,6,8,10
Module_14387,22,11,27,29
Module_14388,20,12,12,16
Module_14389,67,70,72,133
Module_14390,13,20,16,23
Module_19416,12,3,6,12
Module_19417,12,20,8,32
Module_14391,15,23,16,17
Module_14392,26,26,33,46
Module_14393,33,21,31,59
Module_19418,23,21,12,18
Module_14394,66,59,72,110
Module_37075,16,21,17,38
Module_19419,17,18,9,13
Module_29123,41,35,28,45
Module_29124,95,127,121,233
Module_29125,24,26,14,31
Module_33277,35,36,17,15
Module_29126,27,26,24,22
Module_29127,9,15,24,17
Module_27429,2,8,4,10
Module_29128,14,11,13,10
Module_37076,32,23,25,32
Module_37077,10,13,2,9
Module_12851,16,8,17,18
Module_33278,37,26,29,36
Module_3775,10,22,20,32
Module_33279,67,54,49,60
Module_12852,63,65,32,76
Module_33280,18,16,21,25
Module_12853,37,51,29,65
Module_27430,20,28,22,42
Module_29129,8,10,10,10
Module_29130,22,30,12,20
Module_33281,23,21,13,19
Module_12854,16,17,13,10
Module_33282,61,58,38,65
Module_29131,11,2,14,9
Module_12855,6,11,11,12
Module_19420,32,25,13,22
Module_29132,9,9,10,20
Module_33283,21,24,26,35
Module_29133,11,18,11,9
Module_29134,17,11,6,16
Module_29135,21,23,35,31
Module_14395,31,27,25,34
Module_33284,35,29,38,29
Module_14396,21,19,24,18
Module_3776,159,199,193,366
Module_14397,19,14,23,21
Module_14398,8,12,14,7
Module_29136,13,11,21,18
Module_33285,24,22,28,24
Module_7573,18,18,16,23
Module_29137,10,20,22,18
Module_33286,55,52,39,55
Module_33287,42,72,47,85
Module_33288,75,103,83,147
Module_16497,5,9,14,14
Module_14399,7,11,17,9
Module_29138,9,15,14,25
Module_12856,24,34,28,59
Module_27431,19,23,17,33
Module_33289,28,21,37,33
Module_7574,32,31,41,57
Module_5454,75,135,94,159
Module_7575,18,27,18,24
Module_7576,32,37,21,45
Module_7577,47,33,42,49
Module_37078,43,49,42,82
Module_12857,13,18,10,21
Module_35464,18,22,11,25
Module_7578,14,19,31,35
Module_31171,13,5,7,13
Module_33290,25,26,18,36
Module_37079,7,5,13,18
Module_31172,14,5,12,12
Module_35465,14,8,19,10
Module_14400,10,17,15,15
Module_12858,39,31,45,68
Module_14401,15,18,20,34
Module_14402,18,14,22,32
Module_25040,9,3,6,1
Module_14403,109,132,118,215
Module_31173,35,32,27,42
Module_14404,26,38,34,40
Module_31174,40,43,36,54
Module_14405,17,19,25,23
Module_31175,18,24,22,36
Module_25041,21,36,35,54
Module_31176,8,7,13,16
Module_22221,17,26,25,49
Module_7579,49,57,44,68
Module_7580,18,21,22,28
Module_5455,21,20,16,17
Module_7581,22,16,18,30
Module_7582,23,13,13,25
Module_25042,9,8,6,11
Module_22222,50,40,35,56
Module_7583,11,16,25,33
Module_17284,21,23,24,51
Module_5456,37,31,24,35
Module_5457,23,15,13,30
Module_25043,11,3,6,9
Module_14406,30,26,30,49
Module_14407,18,26,36,40
Module_17285,18,13,8,6
Module_7584,33,13,24,20
Module_22223,63,81,51,127
Module_7585,35,28,43,59
Module_17286,23,24,20,19
Module_22224,35,38,22,32
Module_22225,74,130,78,140
Module_5458,17,23,15,16
Module_22226,27,27,35,37
Module_5459,32,34,34,38
Module_19421,10,11,9,17
Module_12859,96,86,74,136
Module_5460,35,37,38,44
Module_7586,14,17,21,16
Module_19422,43,53,34,43
Module_17287,89,103,31,45
Module_19423,21,22,15,21
Module_17288,91,103,33,48
Module_19424,16,17,9,18
Module_17289,90,91,61,90
Module_22227,58,62,64,99
Module_5461,53,35,36,35
Module_17290,32,31,26,50
Module_5462,25,21,19,29
Module_5463,32,31,23,41
Module_7587,33,43,37,68
Module_5464,32,32,24,39
Module_27432,19,45,31,62
Module_5465,44,39,33,36
Module_5466,34,30,17,28
Module_16498,33,33,35,51
Module_22228,62,60,57,117
Module_16499,26,18,28,35
Module_22229,59,60,57,112
Module_16500,24,21,28,36
Module_22230,57,59,57,117
Module_16501,24,22,28,36
Module_5467,46,39,29,49
Module_29139,17,15,14,12
Module_5468,41,45,23,49
Module_5469,46,31,36,36
Module_22231,179,195,192,325
Module_19425,25,30,30,43
Module_22232,9,6,2,13
Module_16502,12,23,24,24
Module_5470,31,30,21,47
Module_5471,48,57,41,72
Module_29140,36,27,27,35
Module_19426,8,15,6,16
Module_29141,46,33,34,47
Module_19427,17,18,12,25
Module_12860,10,15,16,16
Module_29142,86,86,64,117
Module_5472,41,56,31,73
Module_37080,10,16,11,16
Module_5473,42,58,31,75
Module_37081,11,16,11,15
Module_22233,92,110,69,156
Module_12861,12,5,8,10
Module_7588,23,18,25,27
Module_5474,18,12,16,25
Module_27433,61,77,69,113
Module_37082,3,6,6,7
Module_5475,72,87,43,70
Module_35466,11,10,5,4
Module_22234,12,15,13,21
Module_7589,19,12,13,18
Module_29143,40,54,42,57
Module_17291,10,11,9,10
Module_5476,13,21,24,27
Module_22235,15,27,9,15
Module_5477,105,120,93,187
Module_22236,34,28,30,42
Module_5478,14,16,16,20
Module_5479,35,47,52,66
Module_29144,58,64,57,127
Module_16503,32,25,27,36
Module_22237,27,11,17,16
Module_5480,14,8,12,13
Module_31177,42,53,63,83
Module_5481,32,18,34,36
Module_29145,40,35,30,34
Module_29146,46,45,47,68
Module_22238,22,16,25,28
Module_5482,51,52,56,74
Module_31178,8,2,4,3
Module_12862,8,10,13,9
Module_5483,17,24,14,18
Module_12863,18,16,16,25
Module_12864,11,20,23,29
Module_17292,28,39,42,46
Module_12865,9,21,16,25
Module_17293,24,45,47,42
Module_12866,14,15,12,15
Module_12867,18,7,14,20
Module_22239,29,29,22,30
Module_29147,61,65,67,97
Module_5484,56,78,70,88
Module_17294,46,41,52,82
Module_35467,17,8,15,16
Module_12868,8,7,21,9
Module_12869,22,30,20,43
Module_35468,10,8,9,20
Module_12870,24,31,18,41
Module_35469,10,8,10,19
Module_12871,23,30,17,40
Module_29148,13,15,11,18
Module_5485,22,30,13,25
Module_29149,22,26,21,24
Module_12872,28,40,20,21
Module_29150,22,8,15,23
Module_35470,26,17,13,15
Module_12873,11,8,12,8
Module_12874,42,58,51,62
Module_5486,40,49,43,93
Module_7590,19,16,20,22
Module_29151,16,12,6,16
Module_12875,17,18,21,18
Module_5487,36,32,19,29
Module_16504,17,7,18,22
Module_17295,49,53,50,77
Module_17296,32,30,36,78
Module_16505,9,6,5,12
Module_12876,12,7,16,19
Module_29152,13,12,11,13
Module_19428,30,48,35,66
Module_37083,85,114,86,140
Module_17297,18,13,19,25
Module_12877,41,83,51,125
Module_16506,9,17,10,17
Module_35471,13,8,8,14
Module_35472,10,16,10,17
Module_29153,62,44,77,55
Module_35473,20,25,21,30
Module_17298,107,147,149,233
Module_29154,16,16,16,26
Module_17299,49,76,83,117
Module_29155,24,32,21,39
Module_29156,25,23,21,16
Module_29157,18,12,23,26
Module_35474,61,81,33,45
Module_29158,10,10,11,14
Module_35475,59,90,61,109
Module_17300,22,17,24,23
Module_29159,15,13,15,17
Module_17301,54,59,50,83
Module_29160,12,13,15,20
Module_29161,27,16,21,22
Module_29162,30,15,15,32
Module_17302,25,19,30,41
Module_17303,31,22,28,48
Module_22240,12,4,5,16
Module_5488,12,12,17,19
Module_17304,30,27,32,42
Module_35476,9,18,8,9
Module_33291,42,29,25,32
Module_17305,22,26,21,33
Module_17306,78,85,80,119
Module_12878,41,36,26,27
Module_22241,6,5,7,8
Module_35477,21,22,19,37
Module_5489,23,20,24,32
Module_31179,31,40,33,63
Module_22242,13,7,12,13
Module_33292,20,32,15,29
Module_33293,48,41,43,74
Module_5490,26,27,31,49
Module_22243,9,13,12,10
Module_5491,22,30,27,53
Module_22244,9,11,11,17
Module_5492,25,32,28,57
Module_22245,11,11,11,17
Module_5493,27,33,30,60
Module_22246,11,10,21,18
Module_5494,44,53,40,84
Module_33294,42,39,37,59
Module_5495,48,56,42,92
Module_33295,41,40,34,58
Module_5496,54,61,48,100
Module_33296,46,83,63,106
Module_17307,33,26,33,72
Module_33297,26,37,38,45
Module_22247,19,13,14,20
Module_27434,5,10,6,9
Module_27435,19,29,26,24
Module_27436,26,29,23,21
Module_17308,52,68,62,92
Module_12879,18,23,11,19
Module_17309,47,63,62,84
Module_5497,41,28,32,45
Module_27437,18,15,19,24
Module_12880,19,23,13,21
Module_5498,39,30,27,45
Module_12881,21,28,17,23
Module_33298,14,5,19,14
Module_17310,90,126,96,168
Module_16507,24,27,17,26
Module_16508,36,33,28,31
Module_22248,29,29,24,31
Module_17311,16,13,11,12
Module_33299,41,38,39,30
Module_33300,30,36,46,61
Module_29163,22,17,7,7
Module_17312,33,15,11,9
Module_7591,7,8,19,21
Module_22249,9,7,12,13
Module_12882,25,17,18,38
Module_17313,22,24,32,33
Module_22250,7,9,15,21
Module_14408,18,19,28,36
Module_7592,21,11,13,25
Module_17314,19,15,23,30
Module_7593,15,10,8,20
Module_22251,24,18,16,20
Module_29164,11,9,20,13
Module_22252,26,18,19,20
Module_27438,6,13,13,12
Module_22253,9,10,4,15
Module_12883,18,19,24,30
Module_5499,13,6,10,9
Module_33301,39,38,23,26
Module_5500,26,25,23,31
Module_7594,79,80,82,127
Module_22254,8,8,8,19
Module_22255,12,11,13,21
Module_5501,13,14,19,33
Module_22256,12,9,12,21
Module_12884,13,20,25,26
Module_19429,18,12,17,28
Module_17315,20,11,13,13
Module_12885,22,34,20,43
Module_14409,26,39,34,51
Module_17316,35,71,46,95
Module_12886,21,32,24,34
Module_16509,64,56,45,67
Module_35478,31,41,41,55
Module_5502,137,136,143,234
Module_12887,58,74,57,105
Module_5503,95,114,106,170
Module_22257,28,30,18,20
Module_5504,78,98,83,151
Module_22258,39,31,21,25
Module_17317,14,6,9,10
Module_27439,28,31,24,39
Module_22259,53,49,46,66
Module_22260,20,8,12,12
Module_27440,16,16,14,22
Module_22261,8,9,10,13
Module_7595,43,35,26,49
Module_7596,36,26,31,52
Module_22262,19,19,14,25
Module_27441,82,106,98,151
Module_14410,23,12,18,27
Module_27442,20,13,20,33
Module_31180,53,54,24,44
Module_27443,15,12,18,22
Module_31181,46,38,22,30
Module_19430,15,22,26,35
Module_17318,68,80,65,112
Module_17319,22,26,27,26
Module_16510,3,1,5,2
Module_29165,15,6,17,20
Module_22263,19,15,23,14
Module_3777,43,36,52,45
Module_17320,7,10,11,11
Module_3778,23,21,27,27
Module_17321,9,9,11,15
Module_3779,48,43,38,51
Module_29166,12,15,14,10
Module_3780,12,17,16,12
Module_12888,13,15,15,25
Module_35479,15,23,22,29
Module_27444,28,25,22,49
Module_35480,14,25,24,33
Module_27445,29,42,47,67
Module_31182,30,22,22,18
Module_27446,46,45,52,66
Module_19431,35,47,40,76
Module_27447,13,15,29,40
Module_7597,35,44,35,84
Module_12889,44,39,76,109
Module_7598,50,50,54,88
Module_17322,61,90,66,106
Module_12890,52,43,68,97
Module_7599,42,40,51,66
Module_17323,64,90,70,112
Module_7600,40,37,49,62
Module_17324,78,96,94,134
Module_7601,18,34,21,30
Module_31183,34,39,26,28
Module_17325,53,49,65,108
Module_31184,41,60,35,48
Module_17326,50,58,60,101
Module_27448,13,6,7,16
Module_31185,39,47,13,35
Module_31186,30,39,21,27
Module_7602,33,30,31,54
Module_16511,20,20,29,59
Module_31187,16,9,6,12
Module_16512,15,21,33,54
Module_27449,16,17,17,16
Module_12891,52,75,77,114
Module_3781,7,10,10,11
Module_35481,18,13,19,20
Module_19432,12,6,11,9
Module_12892,39,42,16,36
Module_14411,48,44,41,67
Module_16513,9,7,8,3
Module_14412,17,33,27,39
Module_31188,42,38,34,34
Module_35482,12,10,11,20
Module_17327,30,47,53,66
Module_33302,67,48,33,38
Module_5505,55,72,57,73
Module_3782,12,13,12,23
Module_14413,37,38,33,35
Module_31189,18,12,5,8
Module_14414,33,35,28,35
Module_22264,12,18,23,42
Module_5506,29,40,31,27
Module_5507,29,34,29,26
Module_12893,26,18,34,38
Module_5508,22,25,25,28
Module_12894,23,18,34,34
Module_31190,21,14,29,39
Module_5509,27,28,24,38
Module_31191,22,20,29,41
Module_12895,20,9,18,29
Module_31192,21,25,25,37
Module_12896,22,10,17,30
Module_31193,20,26,21,41
Module_12897,31,29,24,36
Module_31194,20,31,18,39
Module_16514,31,44,35,55
Module_19433,14,6,4,9
Module_5510,33,39,42,38
Module_17328,14,18,37,41
Module_5511,22,19,27,25
Module_7603,5,9,11,12
Module_12898,19,23,18,23
Module_5512,77,97,92,150
Module_7604,20,13,22,18
Module_12899,20,14,24,25
Module_5513,43,32,27,32
Module_19434,32,38,17,23
Module_7605,13,8,14,18
Module_3783,45,52,53,102
Module_12900,9,9,13,7
Module_7606,21,29,41,35
Module_5514,71,55,19,31
Module_12901,32,30,33,56
Module_5515,62,45,17,25
Module_12902,29,30,33,54
Module_5516,65,47,17,24
Module_12903,39,39,49,80
Module_12904,34,46,45,78
Module_12905,7,13,11,7
Module_33303,29,27,18,30
Module_33304,48,80,77,139
Module_7607,54,82,60,122
Module_33305,38,56,55,113
Module_7608,57,98,71,137
Module_33306,34,40,34,86
Module_7609,49,85,66,116
Module_33307,44,42,37,68
Module_33308,40,31,20,35
Module_29167,17,18,41,43
Module_27450,14,8,19,16
Module_12906,16,11,13,24
Module_27451,8,12,18,12
Module_12907,14,8,16,28
Module_5517,16,13,11,6
Module_5518,14,21,4,12
Module_12908,51,42,90,116
Module_27452,9,8,14,15
Module_27453,4,3,5,4
Module_33309,13,10,10,9
Module_19435,35,36,34,37
Module_7610,23,17,16,14
Module_12909,50,61,52,95
Module_27454,26,18,12,20
Module_27455,7,7,4,16
Module_17329,53,60,62,94
