Module,3hrs.H3K27ac_REPLICANT.1,3hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_5486,46,85,41,54
Module_7590,11,12,10,16
Module_29151,17,8,21,26
Module_12875,14,23,11,17
Module_5487,20,23,17,29
Module_16504,10,11,12,10
Module_17295,24,41,38,54
Module_17296,25,23,20,40
Module_16505,4,2,9,13
Module_12876,11,8,19,12
Module_29152,11,9,6,7
Module_19428,16,26,31,52
Module_37083,58,85,52,87
Module_17297,6,10,14,15
Module_12877,43,69,26,60
Module_16506,11,10,10,18
Module_35471,11,11,7,19
Module_35472,10,12,9,16
Module_29153,24,14,32,42
Module_35473,17,25,21,33
Module_17298,91,200,64,132
Module_29154,1,14,10,14
Module_17299,41,87,37,70
Module_29155,14,25,37,50
Module_29156,21,10,20,28
Module_29157,5,5,11,21
Module_35474,65,135,53,96
Module_29158,4,4,15,13
Module_35475,80,144,57,104
Module_17300,11,18,28,43
Module_29159,10,10,10,17
Module_17301,30,45,40,89
Module_29160,11,15,12,17
Module_29161,18,13,21,31
Module_29162,13,13,23,31
Module_17302,11,28,13,11
Module_17303,18,15,13,16
Module_22240,10,7,6,5
Module_5488,9,15,11,14
Module_17304,12,23,21,33
Module_35476,21,35,18,29
Module_33291,17,18,31,35
Module_17305,10,9,12,25
Module_17306,50,94,34,81
Module_12878,15,15,21,20
Module_22241,6,6,7,4
Module_35477,8,14,16,22
Module_5489,16,7,13,23
Module_31179,17,23,19,24
Module_22242,17,33,16,26
Module_33292,16,27,17,36
Module_33293,77,104,49,65
Module_5490,17,35,17,34
Module_22243,38,42,18,30
Module_5491,14,24,22,39
Module_22244,36,38,11,40
Module_5492,15,26,22,39
Module_22245,35,37,11,39
Module_5493,16,30,22,40
Module_22246,32,40,18,36
Module_5494,20,36,32,57
Module_33294,30,58,47,57
Module_5495,21,37,34,59
Module_33295,32,60,43,59
Module_5496,22,41,34,60
Module_33296,37,85,40,83
Module_17307,16,18,24,30
Module_33297,27,39,16,34
Module_22247,36,41,25,24
Module_27434,7,15,8,13
Module_27435,17,28,21,34
Module_27436,12,23,15,21
Module_17308,63,92,50,91
Module_12879,12,10,14,18
Module_17309,62,81,47,71
Module_5497,16,11,30,41
Module_27437,12,20,8,17
Module_12880,13,11,14,18
Module_5498,16,12,27,40
Module_12881,13,13,17,26
Module_33298,6,6,21,13
Module_17310,78,126,59,103
Module_16507,7,13,25,30
Module_16508,19,25,28,48
Module_22248,21,31,37,27
Module_17311,12,17,16,29
Module_33299,25,26,23,40
Module_33300,32,36,34,60
Module_29163,4,12,10,12
Module_17312,21,26,23,39
Module_7591,13,16,5,8
Module_22249,10,5,8,13
Module_12882,11,17,21,23
Module_17313,15,12,18,18
Module_22250,12,6,10,12
Module_14408,6,11,6,7
Module_7592,6,6,9,13
Module_17314,9,11,11,32
Module_7593,3,8,12,17
Module_22251,9,14,21,27
Module_29164,5,8,18,17
Module_22252,11,14,24,28
Module_27438,4,6,6,10
Module_22253,14,11,17,17
Module_12883,12,23,10,25
Module_5499,4,14,11,5
Module_33301,17,25,27,39
Module_5500,23,12,22,34
Module_7594,37,34,32,55
Module_22254,27,22,16,21
Module_22255,15,23,13,22
Module_5501,3,19,16,14
Module_22256,11,19,12,17
Module_12884,11,23,10,23
Module_19429,2,5,11,17
Module_17315,16,17,13,17
Module_12885,15,21,22,37
Module_14409,14,38,13,31
Module_17316,40,83,36,55
Module_12886,17,32,28,38
Module_16509,32,38,34,59
Module_35478,37,51,40,63
Module_5502,33,61,43,91
Module_12887,69,139,40,80
Module_5503,34,57,39,71
Module_22257,43,52,29,44
Module_5504,28,51,37,58
Module_22258,51,52,26,53
Module_17317,6,16,9,14
Module_27439,11,7,10,24
Module_22259,39,57,39,63
Module_22260,19,8,12,19
Module_27440,7,4,7,10
Module_22261,4,8,7,16
Module_7595,8,12,17,27
Module_7596,20,15,22,22
Module_22262,9,16,13,20
Module_27441,64,112,69,109
Module_14410,13,12,10,19
