Module,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2,72hrs.H3K27ac_REPLICANT.1,72hrs.H3K27ac_REPLICANT.2
Module_19414,5,12,6,11
Module_19415,7,14,13,21
Module_14386,2,9,8,10
Module_14387,12,16,27,29
Module_14388,11,13,12,16
Module_14389,42,65,72,133
Module_14390,11,22,16,23
Module_19416,6,10,6,12
Module_19417,21,28,8,32
Module_14391,12,19,16,17
Module_14392,17,14,33,46
Module_14393,15,27,31,59
Module_19418,10,22,12,18
Module_14394,42,78,72,110
Module_37075,9,20,17,38
Module_19419,14,29,9,13
Module_29123,29,42,28,45
Module_29124,64,123,121,233
Module_29125,18,27,14,31
Module_33277,19,41,17,15
Module_29126,21,22,24,22
Module_29127,7,19,24,17
Module_27429,1,4,4,10
Module_29128,10,13,13,10
Module_37076,20,28,25,32
Module_37077,13,11,2,9
Module_12851,17,23,17,18
Module_33278,29,43,29,36
Module_3775,13,20,20,32
Module_33279,31,64,49,60
Module_12852,34,66,32,76
Module_33280,17,28,21,25
Module_12853,24,49,29,65
Module_27430,11,24,22,42
Module_29129,13,15,10,10
Module_29130,18,27,12,20
Module_33281,5,23,13,19
Module_12854,7,8,13,10
Module_33282,39,71,38,65
Module_29131,11,13,14,9
Module_12855,7,9,11,12
Module_19420,19,58,13,22
Module_29132,5,16,10,20
Module_33283,21,18,26,35
Module_29133,10,22,11,9
Module_29134,14,17,6,16
Module_29135,16,18,35,31
Module_14395,20,31,25,34
Module_33284,16,23,38,29
Module_14396,11,14,24,18
Module_3776,97,228,193,366
Module_14397,11,19,23,21
Module_14398,8,11,14,7
Module_29136,8,14,21,18
Module_33285,18,16,28,24
Module_7573,7,21,16,23
Module_29137,13,22,22,18
Module_33286,24,44,39,55
Module_33287,31,63,47,85
Module_33288,48,83,83,147
Module_16497,5,3,14,14
Module_14399,8,7,17,9
Module_29138,12,23,14,25
Module_12856,24,47,28,59
Module_27431,8,23,17,33
Module_33289,18,25,37,33
Module_7574,21,24,41,57
Module_5454,63,113,94,159
Module_7575,22,25,18,24
Module_7576,17,39,21,45
Module_7577,28,30,42,49
Module_37078,32,49,42,82
Module_12857,6,14,10,21
Module_35464,13,27,11,25
Module_7578,17,24,31,35
Module_31171,11,11,7,13
Module_33290,16,30,18,36
Module_37079,5,5,13,18
Module_31172,11,14,12,12
Module_35465,11,10,19,10
Module_14400,13,19,15,15
Module_12858,24,40,45,68
Module_14401,9,13,20,34
Module_14402,14,9,22,32
Module_25040,3,7,6,1
Module_14403,54,120,118,215
Module_31173,8,21,27,42
Module_14404,10,37,34,40
Module_31174,13,28,36,54
Module_14405,10,27,25,23
Module_31175,14,17,22,36
