Module,3hrs.H3K27ac_REPLICANT.1,3hrs.H3K27ac_REPLICANT.2,72hrs.H3K27ac_REPLICANT.1,72hrs.H3K27ac_REPLICANT.2
Module_19414,11,19,6,11
Module_19415,9,17,13,21
Module_14386,4,8,8,10
Module_14387,13,17,27,29
Module_14388,10,7,12,16
Module_14389,39,80,72,133
Module_14390,21,19,16,23
Module_19416,6,13,6,12
Module_19417,23,41,8,32
Module_14391,12,17,16,17
Module_14392,13,13,33,46
Module_14393,14,23,31,59
Module_19418,16,20,12,18
Module_14394,53,78,72,110
Module_37075,9,13,17,38
Module_19419,16,18,9,13
Module_29123,21,28,28,45
Module_29124,90,163,121,233
Module_29125,15,19,14,31
Module_33277,30,55,17,15
Module_29126,19,9,24,22
Module_29127,9,15,24,17
Module_27429,8,7,4,10
Module_29128,7,9,13,10
Module_37076,13,24,25,32
Module_37077,7,8,2,9
Module_12851,11,16,17,18
Module_33278,15,22,29,36
Module_3775,13,24,20,32
Module_33279,24,33,49,60
Module_12852,52,70,32,76
Module_33280,13,13,21,25
Module_12853,38,56,29,65
Module_27430,21,29,22,42
Module_29129,18,17,10,10
Module_29130,25,25,12,20
Module_33281,12,11,13,19
Module_12854,12,4,13,10
Module_33282,26,34,38,65
Module_29131,4,8,14,9
Module_12855,1,4,11,12
Module_19420,49,79,13,22
Module_29132,8,4,10,20
Module_33283,10,10,26,35
Module_29133,10,14,11,9
Module_29134,12,9,6,16
Module_29135,14,11,35,31
Module_14395,6,22,25,34
Module_33284,8,9,38,29
Module_14396,11,14,24,18
Module_3776,137,251,193,366
Module_14397,15,28,23,21
Module_14398,18,13,14,7
Module_29136,7,8,21,18
Module_33285,17,8,28,24
Module_7573,12,18,16,23
Module_29137,7,12,22,18
Module_33286,25,33,39,55
Module_33287,29,79,47,85
Module_33288,54,93,83,147
Module_16497,4,4,14,14
Module_14399,8,7,17,9
Module_29138,9,7,14,25
Module_12856,21,39,28,59
Module_27431,11,16,17,33
Module_33289,19,23,37,33
Module_7574,8,12,41,57
Module_5454,83,156,94,159
Module_7575,11,8,18,24
Module_7576,15,28,21,45
Module_7577,19,26,42,49
Module_37078,29,60,42,82
Module_12857,14,13,10,21
Module_35464,8,25,11,25
Module_7578,26,29,31,35
Module_31171,15,14,7,13
Module_33290,18,20,18,36
Module_37079,3,8,13,18
Module_31172,9,12,12,12
Module_35465,8,3,19,10
Module_14400,11,16,15,15
Module_12858,33,52,45,68
Module_14401,9,8,20,34
Module_14402,12,8,22,32
Module_25040,1,6,6,1
Module_14403,61,106,118,215
Module_31173,9,14,27,42
Module_14404,16,24,34,40
Module_31174,11,16,36,54
Module_14405,10,12,25,23
Module_31175,12,9,22,36
Module_25041,29,43,35,54
Module_31176,3,4,13,16
Module_22221,24,35,25,49
Module_7579,45,54,44,68
Module_7580,11,19,22,28
Module_5455,12,13,16,17
Module_7581,13,27,18,30
Module_7582,16,27,13,25
Module_25042,0,2,6,11
Module_22222,34,41,35,56
Module_7583,15,6,25,33
Module_17284,19,33,24,51
Module_5456,29,40,24,35
Module_5457,33,40,13,30
Module_25043,3,5,6,9
Module_14406,22,21,30,49
Module_14407,24,41,36,40
Module_17285,14,16,8,6
Module_7584,10,12,24,20
Module_22223,61,102,51,127
Module_7585,15,16,43,59
Module_17286,10,13,20,19
Module_22224,23,38,22,32
Module_22225,60,121,78,140
Module_5458,10,12,15,16
Module_22226,15,15,35,37
Module_5459,12,18,34,38
Module_19421,24,21,9,17
Module_12859,66,108,74,136
Module_5460,32,45,38,44
Module_7586,23,21,21,16
Module_19422,30,51,34,43
Module_17287,58,107,31,45
Module_19423,21,26,15,21
Module_17288,58,106,33,48
Module_19424,16,14,9,18
Module_17289,111,159,61,90
Module_22227,57,86,64,99
Module_5461,37,55,36,35
Module_17290,22,36,26,50
Module_5462,11,12,19,29
Module_5463,25,29,23,41
Module_7587,16,25,37,68
Module_5464,15,24,24,39
Module_27432,35,73,31,62
Module_5465,28,21,33,36
Module_5466,30,40,17,28
Module_16498,6,15,35,51
Module_22228,47,101,57,117
Module_16499,4,12,28,35
Module_22229,45,99,57,112
Module_16500,5,9,28,36
Module_22230,41,106,57,117
Module_16501,5,10,28,36
Module_5467,37,48,29,49
Module_29139,10,15,14,12
Module_5468,38,57,23,49
Module_5469,24,45,36,36
Module_22231,174,249,192,325
Module_19425,14,16,30,43
Module_22232,8,10,2,13
Module_16502,6,5,24,24
Module_5470,16,20,21,47
Module_5471,33,50,41,72
Module_29140,18,19,27,35
Module_19426,14,19,6,16
Module_29141,16,24,34,47
Module_19427,21,32,12,25
Module_12860,12,7,16,16
Module_29142,41,74,64,117
Module_5472,35,26,31,73
Module_37080,15,11,11,16
Module_5473,37,25,31,75
Module_37081,12,12,11,15
Module_22233,73,132,69,156
Module_12861,7,6,8,10
Module_7588,6,15,25,27
Module_5474,17,21,16,25
Module_27433,34,73,69,113
Module_37082,6,4,6,7
Module_5475,30,57,43,70
Module_35466,4,4,5,4
Module_22234,6,18,13,21
Module_7589,13,8,13,18
Module_29143,16,31,42,57
Module_17291,5,10,9,10
Module_5476,11,9,24,27
Module_22235,38,49,9,15
Module_5477,70,161,93,187
Module_22236,53,78,30,42
Module_5478,16,15,16,20
Module_5479,32,30,52,66
Module_29144,50,76,57,127
Module_16503,13,11,27,36
Module_22237,21,24,17,16
Module_5480,8,11,12,13
Module_31177,23,45,63,83
Module_5481,21,15,34,36
Module_29145,35,18,30,34
Module_29146,38,58,47,68
Module_22238,15,21,25,28
Module_5482,49,51,56,74
Module_31178,2,16,4,3
Module_12862,10,6,13,9
Module_5483,17,13,14,18
Module_12863,7,11,16,25
Module_12864,7,15,23,29
Module_17292,16,13,42,46
Module_12865,7,13,16,25
Module_17293,16,12,47,42
Module_12866,11,7,12,15
Module_12867,5,10,14,20
Module_22239,9,14,22,30
Module_29147,39,39,67,97
Module_5484,63,82,70,88
Module_17294,22,20,52,82
Module_35467,10,14,15,16
Module_12868,5,5,21,9
Module_12869,26,29,20,43
Module_35468,12,9,9,20
Module_12870,20,28,18,41
Module_35469,11,10,10,19
Module_12871,19,28,17,40
Module_29148,7,10,11,18
Module_5485,32,42,13,25
Module_29149,17,19,21,24
Module_12872,41,105,20,21
Module_29150,8,8,15,23
Module_35470,16,20,13,15
Module_12873,6,19,12,8
Module_12874,31,53,51,62
Module_5486,46,85,43,93
Module_7590,11,12,20,22
Module_29151,17,8,6,16
Module_12875,14,23,21,18
Module_5487,20,23,19,29
Module_16504,10,11,18,22
Module_17295,24,41,50,77
Module_17296,25,23,36,78
Module_16505,4,2,5,12
Module_12876,11,8,16,19
Module_29152,11,9,11,13
Module_19428,16,26,35,66
Module_37083,58,85,86,140
Module_17297,6,10,19,25
Module_12877,43,69,51,125
Module_16506,11,10,10,17
Module_35471,11,11,8,14
Module_35472,10,12,10,17
Module_29153,24,14,77,55
Module_35473,17,25,21,30
Module_17298,91,200,149,233
Module_29154,1,14,16,26
Module_17299,41,87,83,117
Module_29155,14,25,21,39
Module_29156,21,10,21,16
Module_29157,5,5,23,26
Module_35474,65,135,33,45
Module_29158,4,4,11,14
Module_35475,80,144,61,109
Module_17300,11,18,24,23
Module_29159,10,10,15,17
Module_17301,30,45,50,83
Module_29160,11,15,15,20
