Module,12hrs.H3K27ac_REPLICANT.1,12hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_19414,9,5,5,12
Module_19415,5,13,7,14
Module_14386,9,6,2,9
Module_14387,18,10,12,16
Module_14388,9,7,11,13
Module_14389,47,60,42,65
Module_14390,23,14,11,22
Module_19416,10,8,6,10
Module_19417,24,19,21,28
Module_14391,15,13,12,19
Module_14392,20,17,17,14
Module_14393,22,7,15,27
Module_19418,22,27,10,22
Module_14394,51,53,42,78
Module_37075,23,19,9,20
Module_19419,26,19,14,29
Module_29123,32,21,29,42
Module_29124,104,106,64,123
Module_29125,11,12,18,27
Module_33277,28,21,19,41
Module_29126,11,15,21,22
Module_29127,9,12,7,19
Module_27429,4,2,1,4
Module_29128,14,9,10,13
Module_37076,16,16,20,28
Module_37077,14,10,13,11
Module_12851,12,5,17,23
Module_33278,40,28,29,43
Module_3775,14,21,13,20
Module_33279,60,40,31,64
Module_12852,35,52,34,66
Module_33280,23,16,17,28
Module_12853,25,34,24,49
Module_27430,16,27,11,24
Module_29129,8,14,13,15
Module_29130,26,18,18,27
Module_33281,22,20,5,23
Module_12854,4,5,7,8
Module_33282,38,39,39,71
Module_29131,13,7,11,13
Module_12855,6,4,7,9
Module_19420,44,52,19,58
Module_29132,10,5,5,16
Module_33283,22,16,21,18
Module_29133,5,13,10,22
Module_29134,8,8,14,17
Module_29135,21,8,16,18
Module_14395,27,21,20,31
Module_33284,18,10,16,23
Module_14396,12,7,11,14
Module_3776,118,166,97,228
Module_14397,24,14,11,19
Module_14398,11,14,8,11
Module_29136,12,10,8,14
Module_33285,14,7,18,16
Module_7573,11,14,7,21
Module_29137,18,11,13,22
Module_33286,31,22,24,44
Module_33287,47,52,31,63
Module_33288,77,96,48,83
Module_16497,9,1,5,3
Module_14399,11,9,8,7
Module_29138,11,8,12,23
Module_12856,24,32,24,47
Module_27431,15,7,8,23
Module_33289,34,25,18,25
Module_7574,20,13,21,24
Module_5454,62,117,63,113
Module_7575,14,10,22,25
Module_7576,17,20,17,39
Module_7577,38,21,28,30
Module_37078,49,53,32,49
Module_12857,8,12,6,14
Module_35464,19,20,13,27
Module_7578,18,23,17,24
Module_31171,15,10,11,11
Module_33290,14,18,16,30
Module_37079,1,5,5,5
Module_31172,6,6,11,14
Module_35465,8,7,11,10
Module_14400,5,9,13,19
Module_12858,35,35,24,40
Module_14401,11,11,9,13
Module_14402,13,7,14,9
Module_25040,4,2,3,7
Module_14403,69,79,54,120
Module_31173,20,22,8,21
Module_14404,20,19,10,37
Module_31174,24,23,13,28
Module_14405,15,7,10,27
Module_31175,20,10,14,17
Module_25041,19,35,19,37
Module_31176,9,6,6,8
Module_22221,23,20,12,22
Module_7579,58,54,39,65
Module_7580,23,19,12,26
Module_5455,16,13,15,23
Module_7581,14,16,16,22
Module_7582,20,20,23,18
