Module,0hrs.H3K27ac_REPLICANT.1,0hrs.H3K27ac_REPLICANT.2,12hrs.H3K27ac_REPLICANT.1,12hrs.H3K27ac_REPLICANT.2
Module_19414,3,7,9,5
Module_19415,11,6,5,13
Module_14386,8,12,9,6
Module_14387,12,16,18,10
Module_14388,12,15,9,7
Module_14389,48,87,47,60
Module_14390,12,23,23,14
Module_19416,4,10,10,8
Module_19417,14,30,24,19
Module_14391,17,20,15,13
Module_14392,12,29,20,17
Module_14393,21,18,22,7
Module_19418,18,20,22,27
Module_14394,57,91,51,53
Module_37075,15,24,23,19
Module_19419,22,16,26,19
Module_29123,31,25,32,21
Module_29124,76,116,104,106
Module_29125,9,11,11,12
Module_33277,28,35,28,21
Module_29126,12,16,11,15
Module_29127,10,15,9,12
Module_27429,7,10,4,2
Module_29128,6,5,14,9
Module_37076,14,21,16,16
Module_37077,9,11,14,10
Module_12851,17,12,12,5
Module_33278,35,33,40,28
Module_3775,16,34,14,21
Module_33279,47,64,60,40
Module_12852,39,51,35,52
Module_33280,18,22,23,16
Module_12853,21,42,25,34
Module_27430,12,29,16,27
Module_29129,14,17,8,14
Module_29130,17,36,26,18
Module_33281,15,29,22,20
Module_12854,7,12,4,5
Module_33282,41,55,38,39
Module_29131,4,7,13,7
Module_12855,3,6,6,4
Module_19420,32,69,44,52
Module_29132,2,6,10,5
Module_33283,15,18,22,16
Module_29133,8,9,5,13
Module_29134,9,7,8,8
Module_29135,11,22,21,8
Module_14395,20,22,27,21
Module_33284,25,18,18,10
Module_14396,15,23,12,7
Module_3776,104,195,118,166
Module_14397,29,22,24,14
Module_14398,18,16,11,14
Module_29136,6,8,12,10
Module_33285,17,21,14,7
Module_7573,11,21,11,14
Module_29137,22,15,18,11
Module_33286,48,70,31,22
Module_33287,59,90,47,52
Module_33288,91,159,77,96
Module_16497,4,4,9,1
Module_14399,7,13,11,9
Module_29138,10,10,11,8
Module_12856,16,37,24,32
Module_27431,13,21,15,7
Module_33289,28,31,34,25
Module_7574,23,28,20,13
Module_5454,63,123,62,117
Module_7575,9,26,14,10
Module_7576,24,35,17,20
Module_7577,32,48,38,21
Module_37078,37,67,49,53
Module_12857,6,14,8,12
Module_35464,9,19,19,20
Module_7578,14,31,18,23
Module_31171,12,15,15,10
Module_33290,18,21,14,18
Module_37079,4,5,1,5
Module_31172,8,8,6,6
Module_35465,6,5,8,7
Module_14400,6,10,5,9
Module_12858,22,56,35,35
Module_14401,12,19,11,11
Module_14402,9,6,13,7
Module_25040,6,6,4,2
Module_14403,61,123,69,79
Module_31173,9,14,20,22
Module_14404,22,40,20,19
Module_31174,12,18,24,23
Module_14405,15,17,15,7
Module_31175,6,16,20,10
Module_25041,21,37,19,35
Module_31176,9,8,9,6
Module_22221,13,28,23,20
Module_7579,63,70,58,54
Module_7580,18,19,23,19
Module_5455,11,29,16,13
Module_7581,17,25,14,16
Module_7582,16,28,20,20
Module_25042,4,9,11,4
Module_22222,48,70,44,38
Module_7583,14,26,12,12
Module_17284,21,47,28,33
Module_5456,20,41,35,23
Module_5457,23,21,24,21
Module_25043,3,12,12,7
Module_14406,26,17,29,15
Module_14407,29,56,37,33
Module_17285,13,21,20,15
Module_7584,25,22,23,14
Module_22223,58,99,52,75
Module_7585,22,24,27,20
Module_17286,12,12,18,16
Module_22224,34,46,33,30
Module_22225,79,125,73,86
Module_5458,18,12,15,15
Module_22226,27,20,19,16
Module_5459,23,17,29,11
Module_19421,10,18,17,21
Module_12859,51,88,49,89
Module_5460,22,40,29,36
Module_7586,9,17,15,27
Module_19422,44,81,49,71
Module_17287,58,87,68,82
Module_19423,14,36,26,36
Module_17288,58,90,66,79
Module_19424,11,27,19,25
Module_17289,69,123,69,89
Module_22227,46,83,59,86
Module_5461,51,58,57,43
Module_17290,23,27,20,32
Module_5462,16,15,25,15
Module_5463,19,27,31,28
Module_7587,21,49,36,31
Module_5464,21,22,28,22
Module_27432,34,54,31,48
Module_5465,45,58,31,27
Module_5466,22,38,23,35
Module_16498,12,25,24,15
Module_22228,41,78,39,56
Module_16499,10,18,19,9
Module_22229,47,78,37,55
Module_16500,10,20,19,10
Module_22230,46,80,39,57
Module_16501,10,20,20,10
Module_5467,36,60,45,51
Module_29139,12,16,17,19
Module_5468,42,56,48,63
Module_5469,47,52,44,37
Module_22231,147,241,130,175
Module_19425,21,14,23,16
Module_22232,6,17,5,6
Module_16502,11,8,13,5
Module_5470,14,29,14,28
Module_5471,36,62,41,44
Module_29140,16,21,29,18
Module_19426,7,10,16,15
Module_29141,21,31,28,22
Module_19427,6,11,26,23
Module_12860,13,9,9,2
Module_29142,45,81,54,84
Module_5472,23,30,24,27
Module_37080,15,13,9,15
Module_5473,24,34,20,26
Module_37081,17,13,9,15
Module_22233,78,107,70,97
Module_12861,4,3,9,3
Module_7588,13,24,15,12
Module_5474,19,21,21,15
Module_27433,56,82,39,68
Module_37082,9,6,16,8
Module_5475,40,54,49,59
Module_35466,3,3,4,6
Module_22234,10,23,18,20
Module_7589,6,9,10,8
Module_29143,39,54,25,45
Module_17291,8,5,9,7
Module_5476,12,15,17,14
Module_22235,31,27,22,27
Module_5477,92,131,65,82
Module_22236,33,48,35,48
Module_5478,10,13,18,12
Module_5479,31,41,27,23
Module_29144,64,81,63,49
Module_16503,12,17,16,10
Module_22237,13,20,21,17
Module_5480,10,7,16,9
Module_31177,32,71,29,40
Module_5481,19,35,15,14
Module_29145,24,25,26,22
Module_29146,43,46,42,43
Module_22238,12,19,20,6
Module_5482,50,70,46,47
Module_31178,5,2,5,4
Module_12862,20,8,22,11
Module_5483,21,16,15,5
Module_12863,11,8,13,14
Module_12864,14,20,14,8
Module_17292,14,16,13,14
Module_12865,14,17,13,9
Module_17293,15,15,17,17
Module_12866,9,16,12,4
Module_12867,11,20,10,10
Module_22239,9,19,17,7
Module_29147,36,62,43,49
Module_5484,76,89,71,76
Module_17294,14,34,39,20
Module_35467,15,21,14,12
Module_12868,11,17,13,8
Module_12869,32,51,15,35
Module_35468,7,14,8,6
Module_12870,29,49,16,34
Module_35469,7,14,9,7
Module_12871,30,47,16,33
Module_29148,11,9,17,11
Module_5485,20,21,26,25
Module_29149,11,21,18,19
Module_12872,59,95,59,67
Module_29150,8,14,20,10
Module_35470,13,19,14,22
Module_12873,11,7,10,12
Module_12874,25,50,41,45
Module_5486,46,72,41,55
Module_7590,10,12,12,7
Module_29151,20,27,27,18
Module_12875,12,10,6,15
Module_5487,21,24,16,15
Module_16504,7,8,16,9
Module_17295,35,52,24,38
Module_17296,24,29,32,21
Module_16505,6,4,12,4
Module_12876,11,13,11,11
Module_29152,8,12,12,4
Module_19428,28,48,32,37
Module_37083,56,106,63,76
Module_17297,12,14,10,4
Module_12877,31,53,27,38
Module_16506,12,14,13,5
Module_35471,9,13,16,4
Module_35472,11,11,11,15
Module_29153,31,31,37,9
Module_35473,17,31,27,23
Module_17298,95,158,91,124
Module_29154,4,11,13,11
Module_17299,47,83,44,51
Module_29155,24,20,31,22
Module_29156,11,23,21,20
Module_29157,10,7,13,8
Module_35474,67,88,70,73
Module_29158,6,9,9,6
Module_35475,70,101,64,97
Module_17300,15,23,17,13
Module_29159,8,16,12,10
Module_17301,39,63,47,49
Module_29160,11,7,16,10
Module_29161,11,26,21,18
Module_29162,12,43,17,17
Module_17302,16,14,19,13
Module_17303,14,19,16,12
Module_22240,10,9,9,14
Module_5488,12,21,8,14
Module_17304,20,40,21,25
Module_35476,17,22,27,17
Module_33291,31,20,25,20
Module_17305,16,26,17,22
Module_17306,36,78,47,69
Module_12878,17,19,20,11
Module_22241,12,16,10,6
Module_35477,9,23,14,10
Module_5489,8,14,12,15
Module_31179,23,26,25,20
Module_22242,11,30,34,34
Module_33292,19,26,30,31
Module_33293,46,88,56,57
Module_5490,21,39,21,21
Module_22243,15,42,32,26
Module_5491,22,36,18,24
Module_22244,19,37,23,27
Module_5492,26,35,19,25
Module_22245,21,36,22,28
Module_5493,26,37,19,28
Module_22246,23,37,28,35
Module_5494,35,56,27,46
Module_33294,35,55,26,42
Module_5495,37,56,29,50
Module_33295,35,52,26,43
Module_5496,38,56,31,52
Module_33296,46,88,50,67
Module_17307,15,32,18,20
Module_33297,25,33,28,26
Module_22247,26,34,28,19
Module_27434,6,7,9,11
Module_27435,17,23,20,18
Module_27436,19,35,18,16
Module_17308,54,72,62,63
Module_12879,13,11,14,11
Module_17309,51,69,59,55
Module_5497,12,28,25,26
Module_27437,16,22,17,16
Module_12880,13,8,13,13
Module_5498,12,25,23,22
Module_12881,13,14,14,15
Module_33298,13,15,11,12
Module_17310,60,110,59,92
Module_16507,11,15,24,17
Module_16508,17,28,19,27
Module_22248,19,15,21,24
Module_17311,11,13,13,6
Module_33299,31,35,34,30
Module_33300,25,31,38,34
Module_29163,11,11,10,6
Module_17312,17,19,24,19
Module_7591,8,7,13,10
Module_22249,16,10,15,9
Module_12882,11,22,14,14
Module_17313,13,13,13,11
Module_22250,16,5,9,10
Module_14408,3,8,5,8
Module_7592,3,5,10,8
Module_17314,14,11,11,16
Module_7593,7,11,8,5
Module_22251,18,31,13,15
Module_29164,9,13,7,7
Module_22252,17,34,14,17
Module_27438,10,11,7,6
Module_22253,7,13,12,10
Module_12883,13,11,14,17
Module_5499,10,7,6,6
Module_33301,30,38,26,18
Module_5500,16,21,20,11
Module_7594,31,39,43,31
Module_22254,12,26,18,9
Module_22255,10,22,24,18
Module_5501,11,8,13,8
Module_22256,7,18,16,13
Module_12884,15,19,16,20
Module_19429,10,8,10,8
Module_17315,9,13,12,11
Module_12885,18,42,23,21
Module_14409,29,27,22,13
Module_17316,46,51,33,52
Module_12886,23,43,38,30
Module_16509,38,44,52,38
Module_35478,33,38,44,39
Module_5502,36,46,44,52
Module_12887,49,112,72,77
Module_5503,17,47,32,51
Module_22257,22,41,26,34
Module_5504,16,35,32,42
Module_22258,27,48,33,40
Module_17317,8,10,3,7
Module_27439,11,8,15,14
Module_22259,47,74,52,55
Module_22260,12,12,11,9
Module_27440,10,10,5,11
Module_22261,8,15,8,11
Module_7595,29,22,17,18
Module_7596,15,22,9,12
Module_22262,17,19,26,15
Module_27441,36,96,67,105
Module_14410,14,12,11,7
Module_27442,12,11,15,14
Module_31180,59,61,44,52
Module_27443,8,13,8,12
Module_31181,43,46,31,30
Module_19430,17,18,13,12
Module_17318,48,63,50,56
Module_17319,19,20,18,24
Module_16510,1,2,3,3
Module_29165,9,10,6,10
Module_22263,22,22,25,12
Module_3777,23,26,29,51
Module_17320,5,5,5,5
Module_3778,14,19,16,29
Module_17321,6,6,6,5
Module_3779,33,32,55,48
Module_29166,8,11,21,12
Module_3780,13,13,13,4
Module_12888,15,17,12,12
Module_35479,19,20,14,15
Module_27444,15,34,21,30
Module_35480,13,21,12,15
Module_27445,31,52,34,35
Module_31182,22,31,37,37
Module_27446,51,67,49,37
Module_19431,40,58,32,49
Module_27447,17,32,11,16
