	Gene
406	TOP2B
407	DCTN2
408	RHEB
409	ZBTB21
410	RYR2
411	TM9SF4
412	ETF1
413	INHBA
414	CAMK2A
415	INTS3
416	DOP1A
417	ZMIZ1
418	ZYG11B
419	SCUBE3
420	DNM1
421	RBBP4
422	ZNF644
423	AUTS2
424	SVEP1
425	SCAF1
426	PIAS2
427	ADCY5
428	BOD1L1
429	NRXN1
430	ARHGAP32
431	FRMD5
432	PBX1
433	RAD21
434	HECW2
435	STMN2
436	TFAP2B
437	MRTFA
438	TRIM8
439	EXT1
440	YLPM1
441	ERF
442	GNAO1
443	ZBTB1
444	KCNC1
445	GRIK2
446	CAMTA2
447	PLXNA1
448	PPP2CA
449	HUNK
450	MSI1
451	GNB2
452	PAPOLG
453	AGAP2
454	ZIC2
455	LRFN3
456	STX1B
457	ATP6V0A1
458	RALA
459	TRIM39
460	FGFR2
461	FBXO28
462	CHAMP1
463	LSM12
464	TCF7L2
465	SPRY2
466	SLC4A4
467	DPYSL2
468	TAOK1
469	KCNN2
470	QRICH1
471	EIF3G
472	KDM1A
473	KCNMA1
474	BAP1
475	CTBP1
476	PSMA3
477	PACS2
478	KCND3
479	NAA15
480	TBX3
481	BCL11B
482	MFN2
483	LASP1
484	ATF2
485	PPP6R3
486	PUM2
487	TSHZ3
488	RAB11FIP4
489	KIF5B
490	ZFP36L2
491	PHF3
492	MYO18A
493	UBE2I
494	ATP6V1B2
495	FBXL3
496	C16orf72
497	YWHAG
498	ZBTB10
499	NF1
500	LDB1
501	SATB1
502	MLXIP
503	AP3D1
504	CSNK2A1
505	ARF4
506	ZBTB34
507	SRSF7
508	PPP2R1A
509	BICRA
510	BICD2
511	C3
512	INF2
513	KCNK9
514	CENPE
515	AHNAK
516	ATL1
517	GRIN1
518	RNF145
519	NAMPT
520	SLC12A2
521	SLC9A3
522	CAPRIN1
523	RUNX1T1
524	MAGEL2
525	FZD4
526	TBCEL
527	PIP5K1C
528	AKT1
529	KBTBD6
530	BRD3
531	ZBTB20
532	TRIM41
533	WNT3A
534	CORO1A
535	PPIG
536	APBB1
537	BCL11A
538	SIX3
539	RAB3A
540	SEC16A
541	CDK13
542	CLPTM1
543	CALM1
544	ACTR1A
545	ATG13
546	DEDD
547	ZBTB7A
548	BRSK2
549	CDKN2AIP
550	FOXG1
551	RARA
552	ZMYM2
553	OTUD7A
554	GSK3B
555	HK1
556	AGAP3
557	PURA
558	PPP1CC
559	PSMC3
560	PCGF3
561	RUSC1
562	BNC2
563	GABRB3
564	AP3B2
565	USP49
566	VPS4A
567	NEO1
568	DCAF7
569	UBR1
570	KIDINS220
571	CBX5
572	LEO1
573	ARID5A
574	NR3C2
575	RAB11FIP2
576	KLHDC10
577	MYB
578	DIP2A
579	RAF1
580	UBE2H
581	BMPR1A
582	PSMC5
583	KCNQ3
584	SPTBN2
585	YWHAZ
586	LCT
587	ATP6V1A
588	SOX4
589	DDX23
590	CERT1
591	ACTA2
592	CAMK2B
593	TRPC4AP
594	GABRA1
595	KCNH7
596	PHLDB1
597	TCF12
598	GNAS
599	GAD2
600	MSANTD2
601	KCNT2
602	MFAP1
603	SLC9A1
604	RMND5A
605	OTX2
606	SCAPER
607	ACLY
608	MAP2K1
609	CTNNA2
610	SCN4A
611	GNAI1
612	KCNA2
613	CHMP7
614	ELAVL4
615	CSNK2B
616	BTG3
617	GABRB2
618	LRFN4
619	KCNH1
620	GATA3
621	SRPRA
622	RAP1B
623	CELF3
624	ONECUT2
625	CABP1
626	AXIN2
627	MAFB
628	MKX
629	GABRG2
630	ARF1
631	RORA
632	IRF2BPL
633	GAK
634	RESF1
635	MAP3K10
636	KIAA1109
637	WDR37
638	MYCN
639	SBNO2
640	LMNB1
641	CDK8
642	KIAA0100
643	POU4F1
644	VAMP2
645	USP46
646	RTN4RL2
647	CERS2
648	GRIA4
649	POU3F3
650	CLK3
651	TP53BP2
652	CPD
653	PAX2
654	PLXNA2
655	CADM1
656	DRD2
657	SALL3
658	SOX11
659	PNN
660	EIF2B5
661	RPL10A
662	SYT1
663	EML6
664	INSR
665	TRPM3
666	TRAF7
667	SHANK2
668	DLK2
669	ZDBF2
670	MYBPC1
671	ELAVL3
672	MAN1A1
673	SEMA6B
674	MAX
675	SLC39A8
676	RAC1
677	BCAS3
678	KCNT1
679	KAT5
680	CAMK4
681	PTPRE
682	SLC6A2
683	PBX3
684	DNAH1
685	KAT8
686	MSL2
687	NEDD8
688	ABCC9
689	GRN
690	NPR1
691	GIGYF1
692	ABCA1
693	ENC1
694	PIK3R2
695	ZNF207
696	ATP1A2
697	RHOBTB2
698	TCF3
699	ANKH
700	GARNL3
701	MED23
702	CDC42
703	AP2S1
704	DUSP16
705	CBL
706	DNM1L
707	HNF4A
708	PTEN
709	AADAT
710	DHDDS
711	KCNJ6
712	KLHL20
713	DMPK
714	GOLGA4
715	TNPO3
716	MAEA
717	ALDH18A1
718	NALCN
719	SRRM3
720	CDKN1C
721	LUC7L2
722	NIPSNAP1
723	FGF12
724	TOP3B
725	PRKAR1B
726	CAMK2D
727	ERLIN1
728	ODC1
729	EIF5A
730	CPNE5
731	STRIP1
732	BCL2L2-PABPN1
733	ESRRG
734	PAK1
735	TKT
736	SOX2
737	ITPR3
738	KDM5B
739	MEX3B
740	MADD
741	PISD
742	NKX2-1
743	TNFRSF11A
744	FGFR3
745	MCOLN1
746	TNFRSF21
747	MEF2C
748	BTBD10
749	ABCF1
750	RNF20
751	PRKD1
752	MARK3
753	GATA5
754	MYH3
755	PPARG
756	RAB11B
757	ACTL6B
758	RIT1
759	ITGB4
760	CBX3
761	NPHS1
762	NACA
763	DEAF1
764	MED24
765	C2CD5
766	RAB43
767	ARF3
768	L3MBTL2
769	KCNA1
770	CENPV
771	TNIP2
772	LRP11
773	ATP4A
774	GLRA1
775	NARS1
776	ASXL1
777	KLHL6
778	RBM12
779	GPR4
780	PROC
781	POLR3B
782	OBSCN
783	GTF3C5
784	PFN2
785	SRP9
786	MIP
787	KBTBD7
788	HRAS
789	DUS1L
790	GFAP
791	H2AC6
792	CCDC146
793	TNNC2
794	PPM1D
795	ATG9B
796	MRFAP1
797	SARM1
798	TERF2IP
799	H3-3A
800	KRAS
801	METTL2A
802	PRH1
803	SLC15A3
804	ROPN1
805	DNMT3A
806	H1-4
807	PTGDR2
808	H4C11
809	AMH
810	HIST1H2AE
811	KIR3DL2
812	CGREF1
813	B3GNT6
814	MIB1
815	SMAD6
816	LZTR1
