Module_19414	13	16
Module_19415	33	31
Module_14386	9	6
Module_14387	33	9
Module_14388	11	6
Module_14389	47	34
Module_14390	5	3
Module_19416	0	0
Module_19417	26	13
Module_14391	11	8
Module_14392	15	10
Module_14393	30	29
Module_19418	15	9
Module_14394	75	49
Module_37075	11	7
Module_19419	7	1
Module_29123	28	22
Module_29124	92	81
Module_29125	16	13
Module_33277	5	2
Module_29126	4	2
Module_29127	13	14
Module_27429	2	4
Module_29128	4	2
Module_37076	10	9
Module_37077	2	2
Module_12851	22	24
Module_33278	27	14
Module_3775	24	14
Module_33279	28	11
Module_12852	40	37
Module_33280	8	6
Module_12853	35	31
Module_27430	6	2
Module_29129	2	4
Module_29130	2	8
Module_33281	11	12
Module_12854	6	6
Module_33282	36	24
Module_29131	6	6
Module_12855	22	24
Module_19420	16	6
Module_29132	18	9
Module_33283	29	6
Module_29133	11	2
Module_29134	11	8
Module_29135	21	14
Module_14395	44	39
Module_33284	18	4
Module_14396	18	10
Module_3776	109	82
Module_14397	30	10
Module_14398	10	5
Module_29136	17	17
Module_33285	18	12
Module_7573	10	2
Module_29137	76	42
Module_33286	22	19
Module_33287	71	57
Module_33288	55	36
Module_16497	13	12
Module_14399	6	9
Module_29138	10	5
Module_12856	22	20
Module_27431	9	6
Module_33289	18	28
Module_7574	40	15
Module_5454	49	35
Module_7575	24	12
Module_7576	43	39
Module_7577	16	20
Module_37078	70	68
Module_12857	16	8
Module_35464	14	8
Module_7578	3	6
Module_31171	13	6
Module_33290	17	18
Module_37079	22	8
Module_31172	5	2
Module_35465	18	12
Module_14400	8	16
Module_12858	70	51
Module_14401	25	7
Module_14402	13	9
Module_25040	3	0
Module_14403	83	61
Module_31173	18	16
Module_14404	62	36
Module_31174	20	19
Module_14405	57	32
Module_31175	12	4
Module_25041	40	12
Module_31176	0	2
Module_22221	31	18
Module_7579	52	26
Module_7580	18	13
Module_5455	11	14
Module_7581	16	2
Module_7582	15	14
Module_25042	3	1
Module_22222	23	20
Module_7583	48	17
Module_17284	41	17
Module_5456	10	8
Module_5457	19	14
Module_25043	4	6
Module_14406	28	26
Module_14407	24	20
Module_17285	20	6
Module_7584	22	15
Module_22223	14	15
Module_7585	29	18
Module_17286	26	27
Module_22224	4	8
Module_22225	44	24
Module_5458	8	2
Module_22226	14	21
Module_5459	13	8
Module_19421	6	10
Module_12859	49	31
Module_5460	20	6
Module_7586	9	5
Module_19422	22	14
Module_17287	18	6
Module_19423	21	4
Module_17288	19	6
Module_19424	21	4
Module_17289	23	13
Module_22227	92	66
Module_5461	12	9
Module_17290	41	31
Module_5462	9	8
Module_5463	24	12
Module_7587	55	47
Module_5464	12	8
Module_27432	53	38
Module_5465	26	15
Module_5466	4	9
Module_16498	38	30
Module_22228	100	52
Module_16499	39	30
Module_22229	96	52
Module_16500	40	29
Module_22230	93	55
Module_16501	39	29
Module_5467	44	28
Module_29139	4	6
Module_5468	32	29
Module_5469	13	5
Module_22231	135	110
Module_19425	48	14
Module_22232	35	20
Module_16502	23	18
Module_5470	27	10
Module_5471	29	11
Module_29140	49	24
Module_19426	13	7
Module_29141	47	26
Module_19427	17	11
Module_12860	12	8
Module_29142	85	52
Module_5472	11	11
Module_37080	7	14
Module_5473	12	11
Module_37081	8	14
Module_22233	101	81
Module_12861	15	13
Module_7588	45	40
Module_5474	5	4
Module_27433	66	49
Module_37082	12	9
Module_5475	46	26
Module_35466	12	19
Module_22234	14	12
Module_7589	23	38
Module_29143	25	28
Module_17291	12	6
Module_5476	15	12
Module_22235	7	3
Module_5477	37	21
Module_22236	36	19
Module_5478	20	8
Module_5479	20	14
Module_29144	46	39
Module_16503	17	19
Module_22237	10	5
Module_5480	12	6
Module_31177	39	27
Module_5481	22	12
Module_29145	12	6
Module_29146	54	22
Module_22238	14	18
Module_5482	61	51
Module_31178	17	16
Module_12862	10	6
Module_5483	24	16
Module_12863	14	16
Module_12864	31	27
Module_17292	31	37
Module_12865	26	22
Module_17293	35	36
