Module,Gene
Module_14632,NEURL4
Module_14634,NEURL4
Module_14632,GPS2
Module_14634,GPS2
Module_14632,KCTD11
Module_14634,KCTD11
Module_14632,EIF5A
Module_14634,EIF5A
Module_14632,CLDN7
Module_14632,ACAP1
Module_14634,ACAP1
Module_14632,YBX2
Module_14634,YBX2
Module_14634,TNK1
Module_14634,SLC2A4
Module_17720,MCOLN1
Module_17720,PEX11G
Module_17720,PNPLA6
Module_17720,ZNF358
Module_17720,CAMSAP3
Module_17720,PET100
Module_17720,STXBP2
Module_14663,NAA38
Module_14664,NAA38
Module_14663,CYB5D1
Module_14664,CYB5D1
Module_14663,TMEM88
Module_14664,TMEM88
Module_14663,CHD3
Module_14664,CHD3
Module_7795,GDF3
Module_7795,DPPA3
Module_27715,AFAP1
Module_14694,AURKB
Module_14694,PFAS
Module_14694,TMEM107
Module_5714,LMO1
Module_5718,LMO1
Module_5719,LMO1
Module_5720,LMO1
Module_5714,RIC3
Module_5715,RIC3
Module_5719,RIC3
Module_16609,RAB12
Module_16612,RAB12
Module_19497,ID2
Module_19499,ID2
Module_7828,A2ML1
Module_7835,A2ML1
Module_7828,LINC00937
Module_7828,PHC1
Module_7835,PHC1
Module_7828,RIMKLB
Module_7835,RIMKLB
Module_7828,MFAP5
Module_7835,MFAP5
Module_5735,ST5
Module_5735,TMEM9B
Module_5740,TMEM9B
Module_5741,TMEM9B
Module_5735,NRIP3
Module_5740,NRIP3
Module_5741,NRIP3
Module_5735,TMEM9B-AS1
Module_5740,TMEM9B-AS1
Module_5741,TMEM9B-AS1
Module_5735,AKIP1
Module_13161,PMM2
Module_13161,ABAT
Module_13161,CARHSP1
Module_13161,TMEM186
Module_13161,METTL22
Module_13161,USP7
Module_13175,USP7
Module_7835,M6PR
Module_7835,KLRG1
Module_25092,RAD18
Module_5740,SCUBE2
Module_5741,SCUBE2
Module_13175,C16orf72
Module_17790,ZNF317
Module_16631,RALBP1
Module_16631,TWSG1
Module_16631,RAB31
Module_16631,PPP4R1
Module_29300,SEMA5A
Module_29300,SNHG18
Module_14717,USP43
Module_14717,STX8
Module_5754,SWAP70
Module_5754,WEE1
Module_5754,IPO7
Module_325,PIK3CD
Module_329,CLSTN1
Module_329,CTNNBIP1
Module_329,NMNAT1
Module_19531,TAF1B
Module_19531,GRHL1
Module_349,KIF1B
Module_349,RBP7
Module_16648,APCDD1
Module_16648,NAPG
Module_353,DFFA
Module_353,PEX14
Module_33576,PHF14
Module_33576,NDUFA4
Module_19575,KCNF1
Module_17869,YIPF2
Module_17869,SMARCA4
Module_17872,SMARCA4
Module_17872,SPC24
Module_17872,LDLR
Module_16659,GNAL
Module_16659,CHMP1B
Module_22462,BTBD3
Module_22463,BTBD3
Module_389,CLCN6
Module_389,KIAA2013
Module_389,PLOD1
Module_389,MIIP
Module_389,MTHFR
Module_389,MFN2
Module_389,NPPB
Module_389,TNFRSF8
Module_31395,HIVEP1
Module_31395,EDN1
Module_31395,PHACTR1
Module_31408,PHACTR1
Module_5790,MICAL2
Module_5791,MICAL2
Module_5790,DKK3
Module_5791,DKK3
Module_16691,TUBB6
Module_16691,AFG3L2
Module_406,DHRS3
Module_7885,DUSP16
Module_7885,CREBL2
Module_14746,ELAC2
Module_17971,TRMT1
Module_17974,TRMT1
Module_17978,TRMT1
Module_17971,NACC1
Module_17974,NACC1
Module_17978,NACC1
Module_17974,IER2
Module_17978,IER2
Module_17974,STX10
Module_17978,STX10
Module_3918,SEPHS1
Module_3918,BEND7
Module_3918,PHYH
Module_3918,UCMA
Module_3918,PRPF18
Module_3918,MCM10
Module_3918,OPTN
Module_17996,CC2D1A
Module_17996,ZSWIM4
Module_17996,MRI1
Module_17996,LOC284454
Module_17996,C19orf57
Module_17996,C19orf53
Module_17996,CCDC130
Module_33600,ETV1
Module_29330,TRIO
Module_7917,ATF7IP
Module_25225,SLC6A6
Module_7926,WBP11
Module_7927,WBP11
Module_7926,C12orf60
Module_7927,C12orf60
Module_7926,ARHGDIB
Module_7927,ARHGDIB
Module_7926,PLBD1
Module_7927,PLBD1
Module_7926,HIST4H4
Module_7927,HIST4H4
Module_7927,H2AFJ
Module_18072,AKAP8
Module_18072,AKAP8L
Module_18072,BRD4
Module_27779,CC2D2A
Module_27779,FBXL5
Module_27779,FAM200B
Module_29347,FBXL7
Module_29348,FBXL7
Module_435,AGMAT
Module_435,CASP9
Module_435,DNAJC16
Module_435,EFHD2
Module_435,PLEKHM2
Module_447,PLEKHM2
Module_448,PLEKHM2
Module_435,DDI2
Module_14776,ADORA2B
Module_14776,MEIS3P1
Module_14779,MEIS3P1
Module_14776,ZSWIM7
Module_14776,TTC19
Module_14776,TRIM16
Module_14776,TVP23C-CDRT4
Module_14776,TVP23C
Module_14776,ZNF286A
Module_25266,ANKRD28
Module_31454,MYLIP
Module_19633,MYCN
Module_19633,MYCNOS
Module_14779,CENPV
Module_14783,CENPV
Module_14779,UBB
Module_14779,PIGL
Module_447,SPEN
Module_448,SPEN
Module_447,FBLIM1
Module_448,FBLIM1
Module_447,ZBTB17
Module_448,ZBTB17
Module_454,ZBTB17
Module_457,ZBTB17
Module_447,FLJ37453
Module_448,FLJ37453
Module_3968,PTER
Module_457,EPHA2
Module_458,EPHA2
Module_7949,LMO3
Module_27808,LDB2
Module_18103,MYO9B
Module_18103,HAUS8
Module_31460,RBM24
Module_18110,BABAM1
Module_18111,BABAM1
Module_18117,BABAM1
Module_18110,NR2F6
Module_18111,NR2F6
Module_18110,USE1
Module_18111,USE1
Module_18110,USHBP1
Module_18111,USHBP1
Module_18117,USHBP1
Module_18110,OCEL1
Module_18111,OCEL1
Module_18117,MRPL34
Module_18117,ANO8
Module_18117,DDA1
Module_18117,GTPBP3
Module_18117,ABHD8
Module_23954,TPTEP1
Module_23956,TPTEP1
Module_23957,TPTEP1
Module_23988,TPTEP1
Module_23954,IL17RA
Module_23956,IL17RA
Module_23954,CECR2
Module_23956,CECR2
Module_23957,CECR2
Module_23954,CECR6
Module_23956,CECR6
Module_23957,CECR6
Module_23954,SLC25A18
Module_497,RCC2
Module_18142,UNC13A
Module_14849,LLGL1
Module_14849,FLII
Module_14849,ALKBH5
Module_18185,RAB3A
Module_18185,MPV17L2
Module_18185,IFI30
Module_18185,PIK3R2
Module_18185,JUND
Module_18195,JUND
Module_18185,PDE4C
Module_18195,PDE4C
Module_31478,RNF144B
Module_18195,PGPEP1
Module_18195,LSM4
Module_518,IGSF21
Module_25299,SATB1
Module_23988,MICAL3
Module_23988,PEX26
Module_23988,USP18
Module_23988,BID
Module_18212,GDF15
Module_18212,SSBP4
Module_18212,ISYNA1
Module_16721,GREB1L
Module_16723,GREB1L
Module_16724,GREB1L
Module_5891,ZDHHC13
Module_18246,RFXANK
Module_18246,MEF2B
Module_18246,TMEM161A
Module_18246,NR2C2AP
Module_24013,C22orf39
Module_24013,CDC45
Module_24013,MRPL40
Module_24013,CLDN5
Module_37245,ACER2
Module_37245,RPS6
Module_18258,MAU2
Module_18258,SUGP1
Module_18258,GATAD2A
Module_18262,NDUFA13
Module_18262,YJEFN3
Module_18262,TSSK6
Module_18262,CILP2
Module_5910,NAV2
Module_5911,NAV2
Module_14900,SPECC1
Module_35674,LZTS1
Module_35681,LZTS1
Module_35674,ATP6V1B2
Module_35674,LPL
Module_565,OTUD3
Module_565,TMCO4
Module_5914,DBX1
Module_5917,DBX1
Module_5917,HTATIP2
Module_5918,HTATIP2
Module_5919,HTATIP2
Module_5922,HTATIP2
Module_5922,PRMT3
Module_31487,CDKAL1
Module_31490,CDKAL1
Module_31487,E2F3
Module_31487,MBOAT1
Module_19687,RHOB
Module_583,PINK1
Module_583,CDA
Module_583,DDOST
Module_24078,LZTR1
Module_24078,CRKL
Module_24078,THAP7
Module_24078,PI4KA
Module_24078,THAP7-AS1
Module_24078,AIFM3
Module_13366,CRYM
Module_10411,ARHGEF40
Module_10411,HNRNPC
Module_10411,LINC00641
Module_10411,METTL17
Module_10411,ZNF219
Module_10411,NDRG2
Module_10411,TMEM253
Module_4016,MLLT10
Module_4016,CASC10
Module_4016,SKIDA1
Module_39136,SMS
Module_39136,YY2
Module_10430,CHD8
Module_10430,RAB2B
Module_10430,SALL2
Module_10430,METTL3
Module_10430,SUPT16H
Module_10430,TOX4
Module_18304,ZNF492
Module_24107,PPM1F
Module_24107,MAPK1
Module_24107,TOP3B
Module_24107,PI4KAP2
Module_24107,YPEL1
Module_33669,RAPGEF5
Module_13391,RRN3P3
Module_13392,RRN3P3
Module_13391,NPIPB5
Module_13392,NPIPB5
Module_13391,SMG1P1
Module_13392,SMG1P1
Module_13391,HS3ST2
Module_13392,HS3ST2
Module_13392,CDR2
Module_35744,RHOBTB2
Module_35744,TNFRSF10B
Module_35752,TNFRSF10B
Module_35752,TNFRSF10C
Module_35752,TNFRSF10D
Module_10443,MRPL52
Module_10443,MMP14
Module_10443,SLC7A7
Module_10443,LRP10
Module_10443,OXA1L
Module_10443,RBM23
Module_10457,RBM23
Module_10443,REM2
Module_22552,NAPB
Module_10457,ACIN1
Module_10457,C14orf93
Module_10457,CDH24
Module_10457,C14orf119
Module_10457,PRMT5
Module_10457,HAUS4
Module_10457,AJUBA
Module_10457,PSMB5
Module_24138,BCR
Module_24138,GNAZ
Module_24138,RAB36
Module_678,HTR1D
Module_678,HNRNPR
Module_678,LUZP1
Module_35781,STC1
Module_35781,NKX3-1
Module_4047,OTUD1
Module_10478,HOMEZ
Module_10479,HOMEZ
Module_10480,HOMEZ
Module_10481,HOMEZ
Module_10484,HOMEZ
Module_10480,BCL2L2-PABPN1
Module_10481,BCL2L2-PABPN1
Module_10484,BCL2L2-PABPN1
Module_10480,BCL2L2
Module_10481,BCL2L2
Module_10484,BCL2L2
Module_10481,PABPN1
Module_10484,PABPN1
Module_10484,SLC7A8
Module_10484,NGDN
Module_10484,EFS
Module_10484,SLC22A17
Module_10484,CMTM5
Module_37276,ELAVL2
Module_37277,ELAVL2
Module_688,ASAP3
Module_688,ID3
Module_689,ID3
Module_688,E2F2
Module_689,E2F2
Module_688,RPL11
Module_16773,KCTD1
Module_16781,KCTD1
Module_24148,C22orf15
Module_24148,SMARCB1
Module_24148,DDT
Module_24152,DDT
Module_24148,DERL3
Module_24148,LOC391322
Module_24152,LOC391322
Module_24148,MMP11
Module_24148,MIF
Module_24148,GUSBP11
Module_24148,SLC2A11
Module_24148,ZNF70
Module_24148,DDTL
Module_24152,DDTL
Module_24148,RGL4
Module_24148,CHCHD10
Module_24148,GSTT1
Module_24152,GSTT1
Module_9592,TNFRSF19
Module_9593,TNFRSF19
Module_19707,ATAD2B
Module_19707,TP53I3
Module_19707,FKBP1B
Module_19707,UBXN2A
Module_19707,ITSN2
Module_19710,ITSN2
Module_19707,NCOA1
Module_19710,NCOA1
Module_19707,FAM228B
Module_31525,MRS2
Module_31526,MRS2
Module_31525,GPLD1
Module_31525,ALDH5A1
Module_7990,SOX5
Module_22561,SYNDIG1
Module_703,IFNLR1
Module_703,SRSF10
Module_27840,SOD3
Module_27840,DHX15
Module_10520,IPO4
Module_10520,MDP1
Module_10520,TM9SF1
Module_711,STPG1
Module_711,RCAN3
Module_711,NIPAL3
Module_33742,OSBPL3
Module_33742,DFNA5
Module_33742,CYCS
Module_718,CLIC4
Module_718,SRRM1
Module_35806,DOCK5
Module_35807,DOCK5
Module_27852,SEPSECS
Module_24180,KIAA1671
Module_24180,SGSM1
Module_24180,LRP5L
Module_19731,DNMT3A
Module_19731,POMC
Module_25330,NGLY1
Module_25330,OXSM
Module_31551,TRIM38
Module_27872,SEL1L3
Module_27874,SEL1L3
Module_27872,SMIM20
Module_27874,SMIM20
Module_750,PAQR7
Module_750,STMN1
Module_750,MTFR1L
Module_750,AUNIP
Module_33757,CBX3
Module_33757,HNRNPA2B1
Module_33757,NFE2L3
Module_35816,PNMA2
Module_35816,BNIP3L
Module_35816,SDAD1P1
Module_35816,PPP2R2A
Module_27878,TBC1D19
Module_27878,RBPJ
Module_769,CEP85
Module_769,SH3BGRL3
Module_769,CD52
Module_791,HMGN2
Module_792,HMGN2
Module_792,RPS6KA1
Module_795,RPS6KA1
Module_792,DHDDS
Module_795,ARID1A
Module_19770,SLC35F6
Module_19770,CENPA
Module_33770,SKAP2
Module_11614,GABRA5
Module_11614,GABRB3
Module_19777,MAPRE3
Module_19777,DPYSL5
Module_14990,SEZ6
Module_14990,PHF12
Module_817,TRNP1
Module_817,FAM46B
Module_4075,MASTL
Module_4075,ANKRD26
Module_4075,YME1L1
Module_35852,SCARA3
Module_35852,ESCO2
Module_35852,CCDC25
Module_25336,SLC4A7
Module_828,TMEM222
Module_828,SYTL1
Module_828,WDTC1
Module_828,MAP3K6
Module_5958,LINC00678
Module_5965,LINC00678
Module_5967,LINC00678
Module_5958,BDNF
Module_5965,BDNF
Module_5967,BDNF
Module_5965,LIN7C
Module_5967,LIN7C
Module_5965,LGR4
Module_5965,METTL15
Module_5965,CCDC34
Module_5965,KIF18A
Module_852,AHDC1
Module_854,AHDC1
Module_859,AHDC1
Module_868,AHDC1
Module_859,IFI6
Module_868,IFI6
Module_859,FAM76A
Module_11626,HERC2
Module_11633,HERC2
Module_33781,JAZF1
Module_33782,JAZF1
Module_33782,CREB5
Module_893,MED18
Module_893,SNHG3
Module_893,SESN2
Module_893,RCC1
Module_9665,PAN3
Module_9669,PAN3
Module_13463,LAT
Module_13463,NUPR1
Module_13463,NFATC2IP
Module_13463,RABEP2
Module_13463,ATXN2L
Module_13463,SPNS1
Module_13463,SH2B1
Module_13463,SULT1A1
Module_13463,TUFM
Module_15042,GOSR1
Module_15042,SUZ12P1
Module_15042,CPD
Module_15042,CRLF3
Module_15042,ATAD5
Module_901,GMEB1
Module_901,RAB42
Module_901,TAF12
Module_901,SNHG12
Module_9669,FLT1
Module_9670,FLT1
Module_11633,HERC2P9
Module_11633,APBA2
Module_35890,DUSP4
Module_24262,ZNRF3
Module_24272,ZNRF3
Module_24262,XBP1
Module_24262,TTC28
Module_8030,ERGIC2
Module_8030,FAR2
Module_8033,FAR2
Module_8039,FAR2
Module_24272,ZNRF3-AS1
Module_8039,TMTC1
Module_13517,DCTPP1
Module_13518,DCTPP1
Module_13517,CD2BP2
Module_13518,CD2BP2
Module_13517,ZNF48
Module_13518,ZNF48
Module_13517,TBC1D10B
Module_13518,TBC1D10B
Module_24322,LIF
Module_22631,CCM2L
Module_22631,TM9SF4
Module_22631,HCK
Module_22631,TSPY26P
Module_22631,POFUT1
Module_22631,KIF3B
Module_22643,KIF3B
Module_22644,KIF3B
Module_22645,KIF3B
Module_22631,PLAGL2
Module_22631,DUSP15
Module_13530,ZNF689
Module_13530,FBRS
Module_13530,PRR14
Module_13530,SRCAP
Module_13531,SRCAP
Module_13530,LOC730183
Module_13530,ZNF785
Module_13530,PHKG2
Module_13531,PHKG2
Module_13530,ZNF688
Module_27887,PCDH7
Module_13531,ZNF629
Module_13531,RNF40
Module_24342,SEC14L2
Module_24342,TBC1D10A
Module_24342,MTFP1
Module_24342,RNF215
Module_24342,SEC14L4
Module_24342,GAL3ST1
Module_13535,BCL7C
Module_13535,FBXL19
Module_22643,ASXL1
Module_22644,ASXL1
Module_22645,ASXL1
Module_13554,PRSS8
Module_13554,KAT8
Module_13554,VKORC1
Module_13561,PYDC1
Module_13561,TRIM72
Module_13561,PYCARD
Module_11670,ARHGAP11B
Module_11679,ARHGAP11B
Module_11670,MTMR10
Module_24362,RNF185
Module_24362,SMTN
Module_24362,INPP5J
Module_24362,MORC2
Module_24362,MORC2-AS1
Module_24362,LIMK2
Module_24381,LIMK2
Module_24362,PLA2G3
Module_11679,KLF13
Module_945,PUM1
Module_945,NKAIN1
Module_945,SNRNP40
Module_945,ZCCHC17
Module_945,SDC3
Module_24381,DRG1
Module_24381,PATZ1
Module_24381,PIK3IP1
Module_8072,AMN1
Module_18361,TSHZ3
Module_18362,TSHZ3
Module_5991,RCN1
Module_8077,KIAA1551
Module_973,COL16A1
Module_973,PEF1
Module_973,TINAGL1
Module_973,SPOCD1
Module_983,SPOCD1
Module_16822,DTNA
Module_29419,MTMR12
Module_29419,GOLPH3
Module_37310,ACO1
Module_35921,NRG1
Module_8082,YARS2
Module_8082,FGD4
Module_8082,DNM1L
Module_8082,ALG10
Module_8082,PKP2
Module_995,MTMR9LP
Module_998,MTMR9LP
Module_995,IQCC
Module_995,LCK
Module_998,LCK
Module_995,EIF3I
Module_998,EIF3I
Module_995,HDAC1
Module_998,HDAC1
Module_1002,HDAC1
Module_995,TXLNA
Module_995,TMEM234
Module_998,TMEM234
Module_995,CCDC28B
Module_995,KPNA6
Module_995,MARCKSL1
Module_1002,MARCKSL1
Module_1002,ZBTB8B
Module_1002,BSDC1
Module_1002,TSSK3
Module_25375,CNOT10
Module_25378,CNOT10
Module_25385,CNOT10
Module_25375,TRIM71
Module_25378,TRIM71
Module_25385,TRIM71
Module_23538,LOC150051
Module_23538,TIAM1
Module_33892,RP9
Module_33892,FKBP9
Module_33892,BBS9
Module_33892,NT5C3A
Module_33892,ZNRF2P1
Module_33892,LINC00997
Module_19862,LTBP1
Module_1015,KIAA1522
Module_1016,KIAA1522
Module_1019,KIAA1522
Module_1021,KIAA1522
Module_1016,YARS
Module_1019,YARS
Module_1021,YARS
Module_1016,S100PBP
Module_1019,S100PBP
Module_1021,S100PBP
Module_1016,RBBP4
Module_1016,ZBTB8OS
Module_6015,LINC00294
Module_6015,CSTF3
Module_6015,HIPK3
Module_15115,LIG3
Module_15115,RAD51D
Module_15115,FNDC8
Module_15115,NLE1
Module_15115,RFFL
Module_15115,ZNF830
Module_15115,SLFN5
Module_15115,CCT6B
Module_16869,GALNT1
Module_6017,CD59
Module_23563,MIS18A
Module_23563,URB1
Module_31699,LEMD2
Module_1051,ZNF362
Module_1054,ZNF362
Module_1051,PHC2
Module_1054,PHC2
Module_1055,PHC2
Module_1054,ZSCAN20
Module_1055,ZSCAN20
Module_29445,ADAMTS12
Module_29446,ADAMTS12
Module_29446,AMACR
Module_31714,GRM4
Module_9745,RFC3
Module_9745,PDS5B
Module_9745,N4BP2L2
Module_31729,HMGA1
Module_31729,C6orf1
Module_18417,CHST8
Module_18417,KCTD15
Module_22758,SCAND1
Module_22758,EPB41L1
Module_22766,EPB41L1
Module_37359,CNTFR
Module_37361,CNTFR
Module_37359,RPP25L
Module_37361,RPP25L
Module_37359,DCTN3
Module_37361,DCTN3
Module_37359,ENHO
Module_37361,ENHO
Module_23596,CRYZL1
Module_23596,ITSN1
Module_22777,MYL9
Module_11722,AQR
Module_11723,AQR
Module_1072,DLGAP3
Module_1072,SMIM12
Module_31769,TEAD3
Module_31769,TULP1
Module_31769,RPL10A
Module_31769,PPARD
Module_31769,FANCE
Module_9749,NBEA
Module_6042,PAMR1
Module_31783,CLPSL2
Module_31783,SRPK1
Module_15160,ACACA
Module_15160,TADA2A
Module_15160,DUSP14
Module_37410,GBA2
Module_37410,NPR2
Module_37410,CREB3
Module_37410,TLN1
Module_37410,TPM2
Module_37410,TMEM8B
Module_24438,TOM1
Module_24438,HMOX1
Module_24438,MCM5
Module_22814,RPN2
Module_22815,RPN2
Module_22814,SRC
Module_22815,SRC
Module_22831,SRC
Module_22832,SRC
Module_22814,RBL1
Module_18466,DMKN
Module_18466,TMEM147
Module_18466,GAPDHS
Module_6058,LDLRAD3
Module_6061,LDLRAD3
Module_22831,NNAT
